NQUEST,NCOMP,nord,SEX,PARENT,NASC,ANASC,CIT,ANINGR,MOTIV,STACIV,STUDIO,TIPOLAU,VOTOEDU,SUEDU,SELODE,ANNOEDU,TIPODIP,UNIVER,PRESNORD,NORDP,MOTENT,ANNOENUS,B01,APQUAL2,ASNONOC2,NACE2,NESPLAV,EXLAV,ETALAV,DISLAV,DISANN1,DISANN2,CONTRIB,ACONTRIB,FCONTRIB,OCCNOW,PROBLAV1,CERC2,PROBLAV2,SALMIN,SMARTW,SMARTWA,SMARTWB,ETAPEN,COPPU,PREVCOM,COPPIP,B16,B17A,B17B,B18,B19A,B19B,B19C,ATTIVP,ISCO,NACE,ETALAV2,MISCOVID1,MISCOVID2,MISCOVIDV1,ETA,NASCREG,NASCAREA,IREG,PARENTP,smartwa1,CLETA5,QUAL,Q,SETT,CFRED,PERC,PERL,NPERL,NPERC,AREA3,AREA5,ACOM4C,ACOM5,PESOFIT,PESOFIT2
935558,4,3,2,6,1,1996,1,,,2,6,4,98,110,0,2019,3,,2,,,,1,1,,,1,,24,2,,,1,1,0,1,,1,,,1,,20,,,3,,1,2,2,2,2,2,2,,1221,22,,2,2,,24,5,1,5,,1,1,1,1,4,0,1,1,3,3,1,2,2,5,0.655494579,2654.6105615
935558,4,4,2,6,1,2003,1,,,2,3,,,,,,,,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,17,5,1,5,,,1,7,3,5,0,0,0,3,3,1,2,2,5,0.655494579,2654.6105615
935579,3,1,1,1,1,1962,1,,,1,7,6,110,110,0,1988,3,,1,,,,1,6,,,3,3,17,2,,,1,35,5,1,0,2,,,1,0,0,70,30,,,2,1,2,2,2,2,2,,2421,14,28,1,2,1000,58,5,1,5,,,4,4,2,4,1,1,1,2,2,1,2,2,5,0.4516766753,1829.1923552
935579,3,2,2,2,1,1964,1,,,1,7,6,108,110,0,1989,3,,2,,,,1,6,,,4,3,17,2,,,1,35,4,1,,2,,,1,0,0,,,,,2,1,2,2,2,2,2,,1219,10,26,2,2,,56,5,1,5,,,4,4,2,4,0,1,1,2,2,1,2,2,5,0.4516766753,1829.1923552
935579,3,3,1,6,1,2001,1,,,2,5,,79,100,,2018,3,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,19,5,1,5,,,1,7,3,5,0,0,0,2,2,1,2,2,5,0.4516766753,1829.1923552
935587,2,1,1,1,1,1958,1,,,1,7,1,109,110,0,1983,3,,1,,,,1,5,,,3,1,24,2,,,1,41,5,1,100,2,,,1,0,2,65,55,1,70,1,2,2,2,2,2,2,,1321,3,28,2,2,,62,3,1,5,,,4,3,1,2,1,1,1,1,2,1,2,2,5,0.5106829054,2068.1547611
935587,2,2,2,2,1,1956,1,,,1,5,,50,60,,1975,1,2,2,,,,2,15,2,4,1,,20,2,,,1,42,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,64,3,1,5,,,4,6,3,5,0,1,0,1,2,1,2,2,5,0.5106829054,2068.1547611
935594,2,1,1,1,1,1967,1,,,1,7,4,110,110,1,1993,2,,1,,,,1,6,,,2,2,28,2,,,1,28,0,1,0,2,,,1,0,1,70,50,,,2,1,2,2,2,2,2,,2142,6,30,2,2,,53,5,1,5,,,3,4,2,4,1,1,1,2,2,1,2,2,5,0.7152453611,2896.5882414
935594,2,2,2,2,1,1963,1,,,1,8,4,110,110,1,1987,3,,2,,,,1,5,,,1,,32,2,,,1,29,3,1,,2,,,1,0,20,,,3,,1,2,2,2,2,2,2,,2310,16,,2,2,,57,5,1,5,,,4,3,1,3,0,1,1,2,2,1,2,2,5,0.7152453611,2896.5882414
935636,2,1,2,1,1,1965,1,,,1,5,,48,60,,1984,3,2,1,,,,1,20,,,1,,21,2,,,1,3,0,1,70,2,,,2,,,70,0,,,2,2,1,2,2,2,2,,4120,19,,1,2,2400,55,7,1,5,,,4,5,2,4,0,1,1,1,2,1,2,1,3,0.7931144345,3211.9410625
