NQUEST,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA11,YTA12,YTA2,YTA31,YCA1,YCA2,YTA32,YTA4,YTA5,YL,YTP,YTA3,YTA,YT,YM,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
173,1,0,0,23400,0,0,0,0,0,0,0,9600,0,0,0,0,23400,0,0,23400,0,9600,61.977405444,0,0,0,61.977405444,9661.9774054,33061.977405
633,1,0,0,10800,0,0,0,0,0,0,0,4800,0,0,0,0,10800,0,0,10800,0,4800,7.7471756805,0,0,0,7.7471756805,4807.7471757,15607.747176
923,1,0,0,6500,0,0,0,0,0,0,0,3600,0,0,0,0,6500,0,0,6500,0,3600,4.6483054083,0,0,0,4.6483054083,3604.6483054,10104.648305
2886,1,0,0,15743,0,0,0,0,0,0,0,8000,12000,0,0,0,15743,-12000,-12000,3743,0,8000,252.68504317,0,0,0,252.68504317,8252.6850432,11995.685043
2886,2,0,0,27300,0,0,0,0,0,0,0,0,0,0,0,0,27300,0,0,27300,0,0,0,0,0,0,0,0,27300
3717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,6240,6240,0,0,0,0,0,0,0,0,6240
5416,1,0,0,8400,0,0,0,0,0,0,0,0,0,0,0,0,8400,0,0,8400,0,0,36.45937794,0,0,0,36.45937794,36.45937794,8436.4593779
5416,2,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,0,0,0,0,0,0,0,0,0,0,0,0,10800
5416,3,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,8000
5416,4,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,13000
7886,1,0,0,26000,0,0,0,0,0,0,0,8400,0,0,0,0,26000,0,0,26000,0,8400,55.7796649,0,0,0,55.7796649,8455.7796649,34455.779665
7886,2,1500,0,0,0,600,600,0,0,0,0,0,0,0,0,1500,0,0,600,600,0,0,0,0,0,0,0,0,2100
20297,1,0,0,15600,0,0,0,0,0,0,0,0,0,0,0,0,15600,0,0,15600,0,0,6.1977405444,0,0,1058.6590794,-1052.461339,-1052.461339,14547.538661
20297,2,7540.68,0,0,0,2259.32,2259.32,0,0,0,0,0,0,0,0,7540.68,0,0,2259.32,2259.32,0,0,0,0,0,0,0,0,9800
20711,1,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,6000,12.395481089,0,0,0,12.395481089,6012.3954811,6012.3954811
20711,2,0,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,26000,0,0,26000,0,0,0,0,0,0,0,0,26000
22099,1,0,0,0,0,0,0,0,0,0,0,6000,0,1800,0,0,0,0,1800,1800,6000,6000,4.6483054083,0,0,0,4.6483054083,6004.6483054,13804.648305
