NQUEST,Y,CN,CD1,CD2,CD,C,S
36409,41044.381752,22800,0,0,0,22800,18244.381752
36443,40975.932216,25020,0,0,0,25020,15955.932216
36697,19594.869445,17300,15000,0,15000,32300,-12705.13056
36893,26114.94002,24200,0,0,0,24200,1914.9400199
37299,21000,15850,0,0,0,15850,5150
37521,28631.709972,18600,0,0,0,18600,10031.709972
37810,9597.4943514,8000,0,0,0,8000,1597.4943514
38014,28856.80258,20500,0,0,0,20500,8356.8025805
38095,25810.846046,17700,0,400,400,18100,7710.846046
38106,37760.762431,20940,0,0,0,20940,16820.762431
38316,95242.507499,33800,0,0,0,33800,61442.507499
38877,22759.328899,26000,0,0,0,26000,-3240.671101
38885,33864.503912,20800,0,0,0,20800,13064.503912
38939,37239.70056,21800,0,0,0,21800,15439.70056
38940,38719.722289,21482.250532,0,5000,5000,26482.250532,12237.471757
39056,48611.240929,27500,0,5000,5000,32500,16111.240929
39086,41658.204523,20450,0,0,0,20450,21208.204523
39095,23507.702938,19400,0,0,0,19400,4107.7029377
39218,32743.481958,24300,0,0,0,24300,8443.4819577
39227,26543.286827,34700,0,0,0,34700,-8156.713173
39317,66394.538154,24450,12000,1000,13000,37450,28944.538154
39318,63584.230181,22441.946498,28000,1400,29400,51841.946498,11742.283683
39488,24021.692092,19800,0,0,0,19800,4221.6920919
39697,50743.510977,21800,0,1000,1000,22800,27943.510977
50231,32340,22800,0,1500,1500,24300,8040
51363,10021.532874,7315,0,0,0,7315,2706.5328742
51544,25711.805806,14100,0,0,0,14100,11611.805806
51895,33273.944916,43600,0,0,0,43600,-10326.05508
52700,16780.142657,15800,0,0,0,15800,980.14265677
52718,12501.825077,10800,0,0,0,10800,1701.8250766
52736,11600,11600,0,0,0,11600,0
53086,37549.943514,24015,0,1500,1500,25515,12034.943514
53202,26076.743507,15000,0,0,0,15000,11076.743507
53234,66054.943514,22650,10500,0,10500,33150,32904.943514
53373,48054.648305,19600,0,0,0,19600,28454.648305
53380,21501.549435,15200,0,0,0,15200,6301.5494351
53552,13083.377123,7776,0,0,0,7776,5307.3771232
53564,31025.381379,29000,0,0,0,29000,2025.3813786
53997,83393.186443,28200,0,0,0,28200,55193.186443
55147,27773.944916,19200,0,0,0,19200,8573.9449162
55425,8123.5050738,6410,0,330,330,6740,1383.5050738
55636,69487.186443,43560,0,2000,2000,45560,23927.186443
55774,24312.044755,24300,0,0,0,24300,12.044755323
56251,26615.494351,14000,0,0,0,14000,12615.494351
56563,20548.922708,12900,0,0,0,12900,7648.9227078
56582,40527.730632,18300,0,0,0,18300,22227.730632
56603,25601.128986,30600,0,0,0,30600,-4998.871014
56658,30249.222799,16400,0,0,0,16400,13849.222799
56677,58296.982983,31420,-4000,0,-4000,27420,30876.982983
56721,23526.735281,18160,0,0,0,18160,5366.7352807
56761,80060.103951,31800,0,0,0,31800,48260.103951
56762,33563.403973,22200,0,0,0,22200,11363.403973
57042,9600.6197741,5220,0,0,0,5220,4380.6197741
57138,23703.718644,26400,0,0,0,26400,-2696.281356
57621,50627.390952,27780,0,300,300,28080,22547.390952
57670,52699.871735,27700,0,750,750,28450,24249.871735
57779,45015.494351,27100,0,0,0,27100,17915.494351
57962,77245.222604,41300,0,2000,2000,43300,33945.222604
60078,20801.549435,15500,0,0,0,15500,5301.5494351
91071,44079.052186,26300,0,0,0,26300,17779.052186
91079,42433.181061,25015,0,0,0,25015,17418.181061
91081,53904.994105,17400,0,0,0,17400,36504.994105
91095,46012.571639,47350,0,0,0,47350,-1337.428361
111052,26353.09887,22000,0,0,0,22000,4353.0988703
145007,95854.871356,66100,0,0,0,66100,29754.871356
178001,16902.479096,12010,0,0,0,12010,4892.4790962
213440,28004.734042,25500,0,0,0,25500,2504.7340418
224048,8307,9760,0,0,0,9760,-1453
230029,30146.70814,13060,0,0,0,13060,17086.70814
230037,40589.089821,17600,0,0,0,17600,22989.089821
237003,53474.790962,37800,0,0,0,37800,15674.790962
244013,27894.977863,18460,0,0,0,18460,9434.9778632
244058,18604.951969,17100,0,0,0,17100,1504.9519686
250005,14988.309887,9300,0,0,0,9300,5688.309887
250010,20800,8900,0,0,0,8900,11900
250039,9600.6197741,7950,0,0,0,7950,1650.6197741
282083,13197.254293,9920,0,0,0,9920,3277.254293
282089,29611.367671,26230,0,0,0,26230,3381.367671
284086,27020.142657,23340,0,0,0,23340,3680.1426568
310002,16601.549435,14300,0,0,0,14300,2301.5494351
310005,15995.494351,12840,0,0,0,12840,3155.4943514
321009,25925.003665,15100,0,0,0,15100,10825.003665
333081,48009.89882,28500,0,0,0,28500,19509.89882
365034,17407.747176,15600,0,0,0,15600,1807.7471757
387029,40489.649435,20340,0,0,0,20340,20149.649435
389084,15601.549435,12250,0,1000,1000,13250,2351.5494351
500001,27706.758764,13400,0,160,160,13560,14146.758764
500090,27628.510624,25360,0,700,700,26060,1568.5106237
500176,24139.832903,14100,0,0,0,14100,10039.832903
500669,44453.309508,18600,18000,0,18000,36600,7853.3095082
500674,28168.470692,10780,0,0,0,10780,17388.470692
500726,49698.899862,12950,17000,450,17450,30400,19298.899862
501068,20548.805435,12800,0,0,0,12800,7748.8054352
501082,25823.540958,19100,0,0,0,19100,6723.5409584
501694,27344.516925,21840,0,0,0,21840,5504.516925
502060,6009.2966108,9322,0,0,0,9322,-3312.703389
502355,45495.819244,30200,0,0,0,30200,15295.819244
502364,26532.391049,25400,0,0,0,25400,1132.3910485
503560,35875.570897,35800,0,0,0,35800,75.570897119
503561,55681.912087,52000,0,0,0,52000,3681.9120866
503593,25306.197741,22900,0,0,0,22900,2406.1977405
503674,86218.011431,20260,0,0,0,20260,65958.011431
503788,36949.472568,30600,0,0,0,30600,6349.4725682
503931,65218.471621,27100,0,700,700,27800,37418.471621
504157,21709.916385,16460,0,420,420,16880,4829.9163849
504363,16253.718644,10500,-7000,0,-7000,3500,12753.718644
504395,83799.40497,43700,0,0,0,43700,40099.40497
504453,76590.052329,20900,0,0,0,20900,55690.052329
504584,11354.819091,9640,10000,0,10000,19640,-8285.180909
504730,47680.988703,37450,0,0,0,37450,10230.988703
504792,55423.605498,50300,0,0,0,50300,5123.6054981
504889,62648.729008,46100,0,1000,1000,47100,15548.729008
504921,39015.494351,24300,15000,0,15000,39300,-284.5056486
504937,36809.296611,16700,0,0,0,16700,20109.296611
505022,20415.494351,16800,0,0,0,16800,3615.4943514
505167,18152.838514,9200,0,0,0,9200,8952.8385143
505228,31198.721551,18966,0,0,0,18966,12232.721551
505390,124619.03091,37100,31000,0,31000,68100,56519.030914
505517,40950.544078,19400,0,0,0,19400,21550.544078
505525,45732.802918,21200,0,0,0,21200,24532.802918
505534,30535.19574,23700,15000,2000,17000,40700,-10164.80426
505594,26009.379507,17500,0,0,0,17500,8509.3795071
505606,70744.990721,51900,0,0,0,51900,18844.990721
505681,16011.692092,15760,0,0,0,15760,251.69209191
505771,54265.076276,22800,0,0,0,22800,31465.076276
505806,19676.634029,9800,0,0,0,9800,9876.6340288
505818,102390.59626,43500,0,0,0,43500,58890.596264
505839,53647.26497,21340,0,0,0,21340,32307.26497
506100,7177.1486834,7900,0,0,0,7900,-722.8513166
506107,42830.988703,26300,0,0,0,26300,16530.988703
506112,15900.988703,12000,0,0,0,12000,3900.9887027
506402,15530.988703,11000,0,0,0,11000,4530.9887027
506418,15398.317803,12800,0,0,0,12800,2598.3178028
506565,61189.449162,25400,0,7000,7000,32400,28789.449162
506628,32032.538138,16600,0,0,0,16600,15432.538138
506736,44422.670146,22700,0,0,0,22700,21722.670146
506738,52227.889832,21350,8800,400,9200,30550,21677.889832
506758,53515.494351,31800,500,0,500,32300,21215.494351
506767,44269.774054,37000,0,0,0,37000,7269.7740544
506799,68369.937836,42700,0,0,0,42700,25669.937836
507182,32023.089665,22800,0,0,0,22800,9223.0896647
507282,55385.522522,38600,0,0,0,38600,16785.522522
507303,37365.494351,23600,0,0,0,23600,13765.494351
507316,32406.197741,24600,0,0,0,24600,7806.1977405
507319,21456.140962,14800,0,0,0,14800,6656.1409622
507336,48296.483054,20800,3000,0,3000,23800,24496.483054
507419,33607.744788,13020,0,0,0,13020,20587.744788
507444,18714.479096,8936,0,0,0,8936,9778.4790962
507640,19503.640843,18440,0,330,330,18770,733.64084294
507644,22642.395481,17700,0,0,0,17700,4942.3954811
507728,31372.680795,25000,0,0,0,25000,6372.6807946
507863,22702.966108,19020,0,0,0,19020,3682.9661082
507905,50015.494351,22800,0,0,0,22800,27215.494351
507908,20330.988703,18900,0,0,0,18900,1430.9887027
507913,15198.296611,12440,0,0,0,12440,2758.2966108
507924,17861.977405,12200,0,0,0,12200,5661.9774054
508861,29423.954811,19600,0,0,0,19600,9823.9548109
509054,15799.296611,15200,0,0,0,15200,599.29661082
509057,12092.169209,11440,0,0,0,11440,652.16920919
509071,30606.197741,28900,0,0,0,28900,1706.1977405
509123,13683.09887,12200,0,0,0,12200,1483.0988703
509550,27274.790962,21100,0,0,0,21100,6174.7909622
509601,36309.296611,21300,0,0,0,21300,15009.296611
509689,15607.747176,17800,0,250,250,18050,-2442.252824
509717,13200,12600,0,0,0,12600,600
509806,19601.549435,20800,0,0,0,20800,-1198.450565
509869,16804.648305,16400,0,0,0,16400,404.64830541
509889,33613.944916,26000,0,0,0,26000,7613.9449162
510109,11416.230527,10500,0,0,0,10500,916.23052707
510329,6000,9600,0,0,0,9600,-3600
510345,26023.241527,23000,0,600,600,23600,2423.241527
510432,9000,11070,0,0,0,11070,-2070
510433,34884.212372,15250,0,0,0,15250,19634.212372
511074,13377.186443,13800,0,500,500,14300,-922.8135567
511136,6805.5810965,13000,0,0,0,13000,-6194.418904
511160,26081.565132,19400,0,0,0,19400,6681.565132
511260,31523.077932,11900,0,0,0,11900,19623.077932
511352,20116.142657,10300,0,0,0,10300,9816.1426568
511365,24030.988703,13900,0,0,0,13900,10130.988703
511424,22930.988703,22300,0,0,0,22300,630.98870272
511474,20765.577966,29500,0,0,0,29500,-8734.422034
511494,7201.3523409,3400,0,0,0,3400,3801.3523409
511495,15000.619774,13500,0,0,0,13500,1500.6197741
511501,15000.619774,12900,0,0,0,12900,2100.6197741
511629,25515.494351,15900,0,0,0,15900,9615.4943514
511757,30256.480427,16800,0,0,0,16800,13456.480427
512211,10780,12200,0,0,0,12200,-1420
512368,16630,15500,0,0,0,15500,1130
512372,11160,11000,0,0,0,11000,160
512452,54861.977405,30600,0,0,0,30600,24261.977405
512457,23337.186443,21900,0,0,0,21900,1437.1864433
512517,43485.124239,20100,0,500,500,20600,22885.124239
512784,24890.018242,20390,0,0,0,20390,4500.0182424
512843,20501.58036,19400,0,8000,8000,27400,-6898.41964
512887,22257.839631,19110,0,0,0,19110,3147.8396313
512921,57300.609843,36200,0,0,0,36200,21100.609843
512963,29960.676406,17860,0,0,0,17860,12100.676406
513131,27621.648988,16400,0,0,0,16400,11221.648988
513369,28009.296611,19300,0,0,0,19300,8709.2966108
513377,17105.449713,12400,0,0,0,12400,4705.4497131
513384,36672.626174,23460,0,1500,1500,24960,11712.626174
513406,46332.391049,21200,0,0,0,21200,25132.391049
610980,36340.981832,22700,0,0,0,22700,13640.981832
611412,129580.52785,46800,0,0,0,46800,82780.527848
611441,49013.31552,59000,0,0,0,59000,-9986.68448
611453,48792.385116,37200,18000,0,18000,55200,-6407.614884
611512,26470.691102,22220,0,0,0,22220,4250.6911024
611614,75179.734476,36900,0,0,0,36900,38279.734476
611774,36598.019196,20686,0,0,0,20686,15912.019196
613825,7200.6197741,7800,0,0,0,7800,-599.3802259
614660,16362.241944,10500,0,0,0,10500,5862.241944
614683,44427.927634,26400,8000,0,8000,34400,10027.927634
614783,28915.494351,29600,0,0,0,29600,-684.5056486
615399,43230.988703,28700,0,0,0,28700,14530.988703
616016,13241.692092,12500,0,0,0,12500,741.69209191
617023,88278.590911,53200,-2250,0,-2250,50950,37328.590911
617231,70045.730036,45900,0,0,0,45900,24145.730036
617398,145640.04554,67800,0,0,0,67800,77840.045542
617902,158635.98372,152700,0,0,0,152700,5935.9837186
620481,77856.568272,18500,0,2000,2000,20500,57356.568272
620805,54930.988703,39512,0,0,0,39512,15418.988703
620829,28851.362404,23440,8900,0,8900,32340,-3488.637596
620858,59669.112066,40900,0,680,680,41580,18089.112066
621762,4861.9774054,9100,0,0,0,9100,-4238.022595
621766,21461.838089,12600,0,0,0,12600,8861.8380893
621773,40346.483054,21900,0,0,0,21900,18446.483054
622306,22908.051814,15912,0,0,0,15912,6996.0518141
622915,16538.986724,9620,0,0,0,9620,6918.9867238
623305,16817.353674,14680,0,1500,1500,16180,637.35367352
623606,31956.483054,20940,0,0,0,20940,11016.483054
623614,15063.790962,12450,0,0,0,12450,2613.7909622
623619,15601.549435,9840,0,0,0,9840,5761.5494351
624781,10201.549435,21600,0,0,0,21600,-11398.45056
625193,40136.350292,28600,0,0,0,28600,11536.350292
625536,12016.300566,11500,0,0,0,11500,516.30056564
625641,56091.835109,29500,0,0,0,29500,26591.835109
625983,44275.932216,28400,0,0,0,28400,15875.932216
626189,11400.309887,9800,0,0,0,9800,1600.309887
626259,39911.414455,21800,0,500,500,22300,17611.414455
626361,19420.452544,18000,0,0,0,18000,1420.4525438
626680,10618.816794,5904,0,0,0,5904,4714.8167938
627067,23181.676031,15700,0,0,0,15700,7481.6760306
628418,36792.966108,27400,0,0,0,27400,9392.9661082
629458,27241.210171,27040,0,0,0,27040,201.21017133
629478,43446.483054,24000,0,0,0,24000,19446.483054
629488,21030.988703,19600,0,0,0,19600,1430.9887027
630345,28604.636645,20600,1500,0,1500,22100,6504.6366449
630650,31918.816794,21700,0,0,0,21700,10218.816794
631016,59608.6717,43500,0,0,0,43500,16108.6717
631306,52284.648305,30600,0,0,0,30600,21684.648305
631954,19343.384184,17100,0,0,0,17100,2243.3841838
632099,25141.404562,15800,0,0,0,15800,9341.4045621
632118,31380.988703,18600,0,0,0,18600,12780.988703
633412,54186.071717,21750,0,1000,1000,22750,31436.071717
633654,43830.988703,28600,0,0,0,28600,15230.988703
633941,17118.593222,14100,0,0,0,14100,3018.5932216
634144,37832.57173,20400,1000,0,1000,21400,16432.57173
634442,28874.943514,21200,0,0,0,21200,7674.9435136
635007,24161.977405,18800,0,0,0,18800,5361.9774054
635112,67002.675786,34429.475971,0,1100,1100,35529.475971,31473.199815
635346,33118.000446,26400,0,0,0,26400,6718.0004463
635513,21000,15200,0,0,0,15200,5800
635514,19801.549435,16450,0,0,0,16450,3351.5494351
636206,28600,12500,0,0,0,12500,16100
636289,45743.954811,20340,0,0,0,20340,25403.954811
636401,18798.46046,11700,0,0,0,11700,7098.4604595
636407,25432.889832,20360,0,0,0,20360,5072.8898324
636418,22516.483054,14800,0,0,0,14800,7716.4830541
637701,56409.296611,27400,0,0,0,27400,29009.296611
638250,21997.747176,21000,0,0,0,21000,997.74717568
638339,35151.883054,24040,0,0,0,24040,11111.883054
638360,43026.466979,24200,0,0,0,24200,18826.466979
639013,22870.944916,15260,0,0,0,15260,7610.9449162
639331,46508.594734,41800,15000,5000,20000,61800,-15291.40527
639575,15887.734946,16100,0,0,0,16100,-212.2650538
639924,14006.197741,21000,0,600,600,21600,-7593.802259
639971,26046.483054,25900,0,0,0,25900,146.48305408
640164,67992.301743,24300,0,0,0,24300,43692.301743
641084,9581.5966297,7340,0,0,0,7340,2241.5966297
648534,16428.790949,17600,0,0,0,17600,-1171.209051
648636,19343.241527,15380,0,0,0,15380,3963.241527
649032,37258.46046,20250,16000,0,16000,36250,1008.4604595
649054,26740.855941,22950,3000,0,3000,25950,790.85594062
649071,16477.186443,14600,0,0,0,14600,1877.1864433
649089,59070.142657,32650,0,0,0,32650,26420.142657
650027,17315.494351,12170,0,0,0,12170,5145.4943514
650091,24261.897505,15200,0,0,0,15200,9061.8975049
670362,22465.494351,14200,0,0,0,14200,8265.4943514
670485,53792.966108,30200,0,0,0,30200,23592.966108
670670,20796.742981,15400,0,0,0,15400,5396.742981
670711,45972.508304,34100,15000,0,15000,49100,-3127.491696
670762,24171.186443,15000,0,0,0,15000,9171.1864433
670853,21009.5418,15800,0,0,0,15800,5209.5418001
670857,21815.15391,19100,0,0,0,19100,2715.1539104
671152,34238.381591,22000,0,0,0,22000,12238.381591
671153,39819.524168,42800,0,0,0,42800,-2980.475832
671206,62737.186443,40800,0,400,400,41200,21537.186443
671362,36265.111301,23236,0,700,700,23936,12329.111301
671480,29020.142657,25080,0,1700,1700,26780,2240.1426568
671520,30747.337173,20800,0,10000,10000,30800,-52.66282723
671698,39114.722372,23600,0,0,0,23600,15514.722372
671841,74559.329352,34680,0,600,600,35280,39279.329352
671893,35809.916385,33840,0,670,670,34510,1299.9163849
672417,38159.119759,18900,0,0,0,18900,19259.119759
672486,23800.593222,14000,0,0,0,14000,9800.5932216
672541,51167.254453,19750,0,0,0,19750,31417.254453
672620,37930.988703,23800,0,0,0,23800,14130.988703
672679,46787.747176,23400,0,400,400,23800,22987.747176
673050,39866.164686,24800,0,0,0,24800,15066.164686
673051,20209.296611,13500,0,0,0,13500,6709.2966108
673145,58776.71098,32825,0,0,0,32825,25951.71098
673451,64655.178607,24600,0,0,0,24600,40055.178607
673452,16024.790962,20400,0,0,0,20400,-4375.209038
673467,43921.692092,20100,0,0,0,20100,23821.692092
673540,23290.494351,16300,0,0,0,16300,6990.4943514
673661,59890.911908,24450,0,0,0,24450,35440.911908
673816,29802.255196,15250,0,0,0,15250,14552.255196
673847,13000,13780,0,0,0,13780,-780
673882,52006.197741,18400,0,0,0,18400,33606.197741
673963,29031.815613,16600,0,0,0,16600,12431.815613
674019,22340.440257,8550,0,0,0,8550,13790.440257
674105,15015.494351,18220,0,0,0,18220,-3204.505649
674106,23907.747176,19300,0,0,0,19300,4607.7471757
674196,25662.020284,22960,0,5000,5000,27960,-2297.979716
674229,58401.549435,17000,0,0,0,17000,41401.549435
674239,51204.67768,11310,0,0,0,11310,39894.67768
674281,33621.799616,12700,0,0,0,12700,20921.799616
674283,15255.220654,9220,0,0,0,9220,6035.2206536
674287,25854.362057,17260,0,0,0,17260,8594.3620566
674379,11160,11740,0,0,0,11740,-580
674440,32130.988703,17500,0,0,0,17500,14630.988703
674572,13202.142657,9092,0,150,150,9242,3960.1426568
674800,28755.779665,19060,0,400,400,19460,9295.7796649
674815,45135.602027,23154.052921,0,0,0,23154.052921,21981.549106
674842,38505.149719,27000,0,0,0,27000,11505.149719
674868,50868.989135,20600,0,0,0,20600,30268.989135
674869,39952.40374,20700,0,1300,1300,22000,17952.40374
674968,23029.663655,18800,0,0,0,18800,4229.6636549
674970,17174.648305,14700,0,0,0,14700,2474.6483054
674974,19891.619774,15900,0,0,0,15900,3991.6197741
675086,34002.479096,19600,0,0,0,19600,14402.479096
675265,25981.483054,19200,0,0,0,19200,6781.4830541
675280,60385.932216,27200,0,0,0,27200,33185.932216
675334,25388.105904,18557.117201,0,0,0,18557.117201,6830.9887027
675667,21003.09887,18800,0,0,0,18800,2203.0988703
675739,34487.079339,25720,14750,0,14750,40470,-5982.920661
675801,38268.175146,26800,0,0,0,26800,11468.175146
676000,77972.693203,28600,0,0,0,28600,49372.693203
676060,23201.549435,17850,0,0,0,17850,5351.5494351
676304,15603.09887,14100,0,0,0,14100,1503.0988703
676374,39154.790962,21000,0,3700,3700,24700,14454.790962
676521,52527.052996,26110,0,0,0,26110,26417.052996
676557,32328.898324,16200,0,0,0,16200,16128.898324
676580,15209.296611,12600,0,0,0,12600,2609.2966108
676807,13870,14100,0,0,0,14100,-230
676844,12360.846046,12100,0,0,0,12100,260.84604595
676851,16393.944916,13100,0,0,0,13100,3293.9449162
676941,9011.6483054,8100,0,0,0,8100,911.64830541
677112,33265.686675,26600,0,700,700,27300,5965.6866747
677124,15032.823451,14040,0,0,0,14040,992.8234514
677167,60262.593222,24100,6000,0,6000,30100,30162.593222
677195,42705.361589,20200,0,0,0,20200,22505.361589
677287,7094.8745773,17100,0,0,0,17100,-10005.12542
677386,44077.471757,23100,0,2000,2000,25100,18977.471757
677464,53529.061262,29000,0,0,0,29000,24529.061262
677474,36876.877732,20450,0,0,0,20450,16426.877732
677475,41686.483054,14940,0,0,0,14940,26746.483054
677476,9893.0988703,10970,0,0,0,10970,-1076.90113
677489,27111.692092,31489,0,0,0,31489,-4377.307908
677946,93660.563453,46092,0,1400,1400,47492,46168.563453
677964,32803.408757,11700,0,0,0,11700,21103.408757
678132,7252.4790962,9852,0,0,0,9852,-2599.520904
678160,46489.867238,45000,20000,0,20000,65000,-18510.13276
680143,27026.197741,23450,0,0,0,23450,3576.1977405
680239,33525.988703,15700,0,0,0,15700,17825.988703
680243,39076.181197,23900,0,0,0,23900,15176.181197
680244,70375.697454,39790,950,600,1550,41340,29035.697454
680430,16809.296611,14400,0,0,0,14400,2409.2966108
680537,44327.889832,21800,0,0,0,21800,22527.889832
680587,31430.136888,29200,0,0,0,29200,2230.1368877
680870,87615.494351,50100,0,0,0,50100,37515.494351
681097,16909.296611,15424,0,0,0,15424,1485.2966108
681133,610.84604595,14412,0,0,0,14412,-13801.15395
681192,29780.887854,29020,0,0,0,29020,760.88785352
681349,12480,13800,0,0,0,13800,-1320
681387,12677.886548,13360,0,0,0,13360,-682.1134515
681394,27177.644479,27100,0,0,0,27100,77.644479354
681430,14240.988703,13200,0,350,350,13550,690.98870272
681499,19952.538138,17880,0,488,488,18368,1584.5381379
681520,22890.43936,14800,0,0,0,14800,8090.4393595
681668,23060.855941,17650,0,0,0,17650,5410.8559406
681713,71289.977685,50800,0,700,700,51500,19789.977685
681822,25015.494351,12400,0,750,750,13150,11865.494351
681844,126542.00628,39600,0,0,0,39600,86942.006284
682006,44948.003274,30200,0,0,0,30200,14748.003274
682125,17811.549435,11456,0,300,300,11756,6055.5494351
682169,17995.19832,14500,0,0,0,14500,3495.1983203
682170,57313.213198,45000,0,1500,1500,46500,10813.213198
682192,49001.426568,32000,0,0,0,32000,17001.426568
682204,19234.622407,15900,0,0,0,15900,3334.6224068
682210,28863.08394,16400,0,0,0,16400,12463.08394
682240,38842.099855,13900,0,0,0,13900,24942.099855
682272,22214.087573,19300,0,0,0,19300,2914.087573
682298,30605.887854,18900,0,0,0,18900,11705.887854
682359,29230.988703,17200,0,0,0,17200,12030.988703
682360,17064.790962,15700,0,0,0,15700,1364.7909622
682363,24330.988703,18000,15800,0,15800,33800,-9469.011297
682408,32806.7312,22000,4000,0,4000,26000,6806.7311998
682457,16912.395481,14160,0,0,0,14160,2752.3954811
682496,22744.63439,21200,0,0,0,21200,1544.63439
682732,10308.676837,11440,0,0,0,11440,-1131.323163
682737,70820.004576,29400,0,0,0,29400,41420.004576
682782,15569.693227,9496,0,500,500,9996,5573.693227
682812,64213.944916,17100,0,0,0,17100,47113.944916
682829,25041.598324,21500,0,0,0,21500,3541.5983245
682897,56548.494351,19640,0,0,0,19640,36908.494351
