NQUEST,TIPOI,QUEST,NQUESTP,STUPCF,STUMCF,STUPCO,STUMCO,CITPCF,CITMCF,CITPCO,CITMCO,VITGEN,NGEN,FIGLI,NFIGLI,PARNOIT,ANCONV,CONTINT,NCOMP
725236,2,3,,,,,,,,,,2,,2,,2,,3,1
725701,2,3,,,,,,,,,,2,,2,,2,,3,1
725716,2,3,,,,,,,,,,1,1,1,1,,1996,5,3
725726,2,3,,,,,,,,,,2,,1,2,,,6,1
726553,2,3,,3,2,2,2,1,1,1,1,1,3,2,,,1990,2,4
726906,1,3,,,,,,,,,,1,2,1,1,,1984,4,4
726932,1,3,,,,,,,,,,2,,1,1,,,3,1
727039,2,3,,,,,,,,,,2,,2,,,2000,3,4
727160,1,3,,,,,,,,,,2,,2,,,1966,1,2
727477,1,3,,1,1,1,1,1,1,1,1,2,,2,,2,,6,5
728306,2,3,,,,,,,,,,2,,2,,,1987,3,2
728493,2,3,,3,3,,,1,1,,,2,,2,,2,,4,1
730333,1,3,,3,4,,,1,1,,,2,,1,1,2,,3,1
730402,2,3,,7,7,7,7,1,1,1,1,3,,2,,,1994,2,3
730430,2,3,,7,7,7,7,1,1,1,1,1,3,2,,,1997,2,3
730807,2,3,,,,,,,,,,1,1,1,2,,,2,2
730876,2,3,,,,,,,,,,1,2,2,,2,,2,3
730939,1,3,,2,2,,,1,1,,,2,,2,,,,2,1
732013,1,3,,1,1,2,1,1,1,1,1,1,1,2,,,1998,3,4
732466,1,3,,1,1,1,1,1,1,1,1,2,,1,4,,1968,1,2
733216,2,3,,,,,,,,,,2,,1,3,,1980,4,4
733351,2,3,,,,,,,,,,1,1,1,2,,1973,5,2
733363,2,3,,,,,,,,,,1,4,2,,,2009,5,3
733605,1,3,,,,,,,,,,2,,1,1,,,3,1
733713,1,3,,,,,,,,,,2,,2,,2,,5,1
733755,1,3,,,,,,,,,,1,1,2,,,2004,1,2
734264,1,3,,,,,,,,,,2,,1,2,,1968,1,2
735005,1,3,,3,3,,,1,1,,,1,1,1,1,2,,1,1
735143,1,3,,2,2,1,1,1,1,1,1,2,,1,1,,1987,1,4
735401,2,3,,,,,,,,,,1,2,2,,,2002,2,4
735436,2,3,,,,,,,,,,2,,1,1,,,3,1
735621,2,3,,,,,,,,,,1,3,2,,,1991,6,5
735659,1,3,,2,1,1,2,1,1,1,1,1,1,1,1,,1987,1,3
735677,1,3,,2,2,4,2,1,1,1,1,2,,1,3,,1966,3,2
736010,1,3,,,,,,,,,,2,,1,3,,1983,2,2
736011,1,3,,1,1,1,1,1,1,1,1,2,,2,,,1966,1,2
736034,1,3,,,,,,,,,,2,,1,2,,1976,1,3
736206,2,3,,,,,,,,,,2,,2,,,1988,2,4
736212,2,3,,,,,,,,,,2,,1,3,,1974,3,2
736917,2,3,,,,,,,,,,1,1,2,,,2000,2,5
736935,2,3,,,,,,,,,,1,1,2,,,2004,2,3
736939,1,3,,,,,,,,,,2,,1,3,,,1,1
736957,2,3,,,,,,,,,,1,2,2,,,1998,1,4
737939,2,3,,2,2,,,1,1,,,2,,1,3,,,3,1
800003,2,3,,,,,,,,,,1,2,2,,2,,3,3
800010,2,3,,,,,,,,,,1,3,2,,,1998,3,4
