NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA11,YTA12,YTA2,YTA3,YTA31,YTA32,YTA4,YTA5,YM,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4,CLY,CLY2
33937,14861.977405,0,0,0,6400,6400,6400,0,0,0,0,0,0,0,0,0,0,0,0,8461.9774054,8400,0,8400,61.977405444,61.977405444,0,0,0,2,1
34252,29415.494351,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,0,0,0,0,6015.4943514,6000,0,6000,15.494351361,15.494351361,0,0,0,6,3
34778,27565.494351,15000,15000,0,7150,7150,7150,0,0,0,0,0,0,0,0,0,0,0,0,5415.4943514,5400,0,5400,15.494351361,15.494351361,0,0,0,5,3
34825,57539.009005,0,0,0,45500,45500,45500,0,0,0,0,0,0,0,0,0,0,0,0,12039.009005,9100,200,8900,2939.0090051,495.81924355,0,2443.1897615,0,9,5
35022,21003.09887,21000,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0988702722,0,0,0,3.0988702722,3.0988702722,0,0,0,4,2
35234,26945.887854,0,0,0,20940,20940,20940,0,0,0,0,0,0,0,0,0,0,0,0,6005.8878535,6000,0,6000,5.8878535172,5.8878535172,0,0,0,5,3
35322,25707.608309,0,0,0,19160,13160,13160,0,6000,6000,0,6000,0,0,0,0,0,0,0,6547.608309,6500,0,6500,47.608309048,47.608309048,0,0,0,5,3
35323,19016.054319,0,0,0,14170,14170,14170,0,0,0,0,0,0,0,0,0,0,0,0,4846.0543186,4800,0,4800,46.054318631,46.054318631,0,0,0,3,2
35340,7171.6920919,0,0,0,7150,7150,7150,0,0,0,0,0,0,0,0,0,0,0,0,21.692091905,0,0,0,21.692091905,21.692091905,0,0,0,1,1
35372,40070.779665,0,0,0,37015,37015,37015,0,0,0,0,0,0,0,0,0,0,0,0,3055.7796649,3000,0,3000,55.7796649,55.7796649,0,0,0,7,4
35379,23230.988703,0,0,0,17200,18200,18200,0,-1000,0,0,0,0,-1000,0,1000,0,0,0,6030.9887027,6000,0,6000,30.988702722,30.988702722,0,0,0,4,2
35640,45617.471757,0,0,0,33540,33540,33540,0,0,0,0,0,0,0,0,0,0,0,0,12077.471757,12000,0,12000,77.471756805,77.471756805,0,0,0,8,4
35682,39915.494351,0,0,0,35100,35100,35100,0,0,0,0,0,0,0,0,0,0,0,0,4815.4943514,4800,0,4800,15.494351361,15.494351361,0,0,0,7,4
35788,32664.824212,0,0,0,24848,24848,24848,0,0,0,0,0,0,0,0,0,0,0,0,7816.8242122,7200,0,7200,616.82421221,616.82421221,0,0,0,6,3
36130,43805.494351,14640,14400,240,24350,22750,22750,0,1600,1600,1600,0,0,0,0,0,0,0,0,4815.4943514,4800,0,4800,15.494351361,15.494351361,0,0,0,8,4
36186,26302.169209,6800,6800,0,17100,6500,6500,0,10600,9300,0,9300,0,0,0,0,1300,0,0,2402.1692092,2400,0,2400,2.1692091905,2.1692091905,0,0,0,5,3
36250,21309.296611,16500,16500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4809.2966108,4800,0,4800,9.2966108166,9.2966108166,0,0,0,4,2
36321,42925.421856,0,0,0,33150,33150,33150,0,0,0,0,0,0,0,0,0,0,0,0,9775.4218556,9600,0,9600,175.42185556,58.878535172,116.54332039,0,0,8,4
36333,11951.239548,0,0,0,7150,7150,7150,0,0,0,0,0,0,0,0,0,0,0,0,4801.2395481,4800,0,4800,1.2395481089,1.2395481089,0,0,0,2,1
36403,44000,0,0,0,44000,24000,24000,0,20000,7500,0,7500,0,0,0,0,500,12000,0,0,0,0,0,0,0,0,0,0,8,4
36409,41044.381752,0,0,0,32200,32200,32200,0,0,0,0,0,0,0,0,0,0,0,0,8844.3817525,9200,0,9200,-355.6182475,92.966108166,0,0,448.58435568,7,4
36443,40975.932216,17000,17000,0,15990,15990,15990,0,0,0,0,0,0,0,0,0,0,0,0,7985.9322163,7800,0,7800,185.93221633,185.93221633,0,0,0,7,4
36697,19594.869445,0,0,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,0,0,0,94.869444659,0,0,0,94.869444659,94.869444659,0,0,0,3,2
36893,26114.94002,0,0,0,21840,21840,21840,0,0,0,0,0,0,0,0,0,0,0,0,4274.9400199,4200,0,4200,74.94001993,74.94001993,0,0,0,5,3
37299,21000,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,0,6000,0,0,0,0,0,4,2
37521,28631.709972,0,0,0,22620,22620,22620,0,0,0,0,0,0,0,0,0,0,0,0,6011.7099715,6000,0,6000,11.709971508,101.42684264,0,0,89.716871135,6,3
37810,9597.4943514,0,0,0,7182,7182,7182,0,0,0,0,0,0,0,0,0,0,0,0,2415.4943514,2400,0,2400,15.494351361,15.494351361,0,0,0,1,1
38014,28856.80258,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,0,0,0,0,5456.8025805,5400,0,5400,56.802580462,56.802580462,0,0,0,6,3
38095,25810.846046,21000,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4810.846046,4800,0,4800,10.846045953,10.846045953,0,0,0,5,3
38106,37760.762431,0,0,0,25740,25740,25740,0,0,0,0,0,0,0,0,0,0,0,0,12020.762431,12000,0,12000,20.762430824,20.762430824,0,0,0,7,4
38316,95242.507499,54500,54500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,10742.507499,9600,0,9600,1142.5074991,15.494351361,372.93862524,754.0745225,0,10,5
38877,22759.328899,0,0,0,22750,22750,22750,0,0,0,0,0,0,0,0,0,0,0,0,9.3288987438,0,0,0,9.3288987438,9.3288987438,0,0,0,4,2
38885,33864.503912,0,0,0,26520,26520,26520,0,0,0,0,0,0,0,0,0,0,0,0,7344.5039122,7000,0,7000,344.50391223,306.17156837,0,38.332343856,0,6,3
38939,37239.70056,0,0,0,14200,13000,13000,0,1200,0,0,0,0,0,0,0,1200,0,12000,11039.70056,9200,0,9200,1839.7005604,335.20378559,0,1547.5608729,43.064098145,7,4
38940,38719.722289,0,0,0,30600,30600,30600,0,0,0,0,0,0,0,0,0,0,0,0,8119.7222888,8042.250532,0,8042.250532,77.471756805,77.471756805,0,0,0,7,4
39056,48611.240929,18000,18000,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,0,0,9811.2409293,9600,0,9600,211.24092931,92.966108166,0,118.27482115,0,8,4
39086,41658.204523,0,0,0,33800,33800,33800,0,0,0,0,0,0,0,0,0,0,0,0,7858.2045232,7800,0,7800,58.204523158,23.241527042,34.962996117,0,0,8,4
39095,23507.702938,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,0,0,7907.7029377,7200,0,7200,707.70293767,352.57094349,46.617328155,308.51466603,0,4,2
39218,32743.481958,0,0,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,0,0,11943.481958,11600,2000,9600,343.48195767,6.1977405444,186.46931262,150.8149045,0,6,3
39227,26543.286827,0,0,0,9750,9750,9750,0,0,0,0,0,0,0,0,0,0,0,7000,9793.2868272,9600,0,9600,193.28682722,6.8175145989,186.46931262,0,0,5,3
39317,66394.538154,38474.576271,38474.58,0,1925.4237288,0,0,0,1925.4237288,1925.4237288,1925.4237288,0,0,0,0,0,0,0,14000,11994.538154,11300,0,11300,694.53815422,36.372137522,0,658.1660167,0,9,5
39318,63584.230181,10000,10000,0,5600,0,0,0,5600,3000,0,3000,0,0,0,0,2600,0,30000,17984.230181,13541.946498,6700,6841.9464978,4442.2836832,185.02824574,0,5603.0085045,1345.753067,9,5
39488,24021.692092,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,0,0,8421.6920919,8400,0,8400,21.692091905,21.692091905,0,0,0,5,3
39697,50743.510977,0,0,0,42900,42900,42900,0,0,0,0,0,0,0,0,0,0,0,0,7843.5109766,7800,0,7800,43.510976648,43.510976648,0,0,0,8,4
