NQUEST,CTIT,NCTIT,ICTIT,UNABAN,BANCHE,QUOTAINTP,SCOPER,UTSCOPER,MESISCOPER,VMSCOPER,FSCOPER,FSCOPER1,CARTA,CARTE,USOCART,CARTDEB,CARTDEB1,BANCOMAT,NBANCOMA,CARTAPRE,NCARTAPRE,SPESECON,COLDIS,TRADING,ECREDIT,INTERNET,EBUY,PRELN,PRELQUALIT,PRELMOTIV1,PRELMOTIV2,PRELMOTIV3,DEPOSIT,NDEPOSIT
282083,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,200,2,,,2,,2,7,,,,1,1
282089,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,350,2,,,1,3,2,6,,,,1,1
284086,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,1200,2,,,1,3,8,10,,,,1,1
310002,,,,1,1,,,,,,,,2,,,,,1,1,2,,800,2,,,2,,3,7,,,,1,1
310005,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,850,2,,,2,,2,8,,,,1,1
321009,1,1,2,1,1,,2,,,,,,2,,,,,1,1,2,,750,2,,,2,,5,9,,,,1,1
333081,1,1,2,1,1,,2,,,,,,1,1,2,,,1,1,1,1,500,1,3,3,1,3,3,8,,,,1,1
365034,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,800,2,,,2,,1,8,,,,1,1
387029,2,,,1,1,,2,,,,,,1,2,2,,,1,1,2,,500,1,3,3,1,2,2,8,,,,1,1
389084,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,800,2,,,2,,4,5,1,2,2,1,1
500001,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,400,2,,,2,,3,8,,,,1,1
500090,1,1,2,1,1,,2,,,,,,2,,,,,1,2,2,,600,2,,,2,,1,8,,,,1,1
500176,2,,,2,2,100,2,,,,,,2,,,,,1,2,2,,400,2,,,2,,10,9,,,,1,2
500669,2,,,2,2,70,1,2,,,,,1,1,2,,,1,1,2,,600,1,3,3,1,2,4,10,,,,1,2
500674,2,,,1,1,,3,,,,,,1,1,2,,,1,1,1,1,600,1,3,3,1,1,1,10,,,,1,1
500726,1,1,2,1,1,,2,,,,,,1,1,2,,,1,1,1,1,50,1,3,3,1,2,3,10,,,,1,1
501068,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,2,,3,7,,,,1,1
501082,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,500,2,,,2,,15,7,,,,1,1
501694,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,1700,2,,,1,3,1,8,,,,1,1
502060,2,,,1,1,,2,,,,,,1,1,2,,,2,,1,1,500,2,,,1,3,1,7,,,,1,1
502355,2,,,1,1,,1,2,,,,,1,1,1,,,1,2,1,1,150,2,,,1,2,1,9,,,,1,2
502364,1,1,1,1,1,,2,,,,,,2,,,,,2,,2,,900,2,,,2,,0,7,,,,1,2
503560,2,,,1,1,,2,,,,,,1,2,2,,,1,2,2,,400,2,,,1,2,1,2,1,2,2,1,2
503561,2,,,2,2,80,2,,,,,,2,,,,,1,1,2,,200,2,,,1,3,1,7,,,,1,2
503593,2,,,1,1,,1,2,,,,,2,,,,,1,1,1,1,500,2,,,1,3,5,7,,,,1,1
503674,1,1,2,1,1,,2,,,,,,1,2,2,,,1,2,2,,500,2,,,1,3,3,8,,,,1,2
503788,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,400,2,,,2,,2,8,,,,1,1
503931,1,1,2,1,1,,1,2,,,,,1,1,2,,,1,2,1,1,500,1,3,3,1,2,2,8,,,,1,2
504157,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,30,2,,,2,,2,9,,,,1,1
504363,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,150,2,,,2,,1,10,,,,1,1
504395,2,,,1,1,,1,2,,,,,1,2,1,,,1,3,1,2,200,1,3,3,1,2,4,9,,,,1,3
504453,2,,,2,2,80,2,,,,,,1,1,2,,,1,2,2,,1500,1,3,3,1,3,3,8,,,,1,3
504584,,,,1,1,,,,,,,,2,,,,,2,,1,1,300,2,,,2,,1,6,,,,1,1
504730,2,,,2,3,70,2,,,,,,1,3,2,,,1,3,2,,2000,1,3,3,1,2,15,9,,,,1,3
504792,1,1,2,1,1,,1,2,,,,,1,1,1,,,1,1,2,,1000,1,3,3,1,3,4,10,,,,1,1
504889,2,,,1,1,,2,,,,,,1,2,2,,,1,2,2,,300,1,3,3,1,2,2,8,,,,1,2
504921,2,,,1,1,,2,,,,,,1,1,2,,,1,2,2,,300,1,3,3,1,2,3,8,,,,1,2
504937,2,,,1,1,,2,,,,,,2,,,,,1,3,1,1,200,2,,,1,3,2,7,,,,1,1
505022,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,2,,2,8,,,,1,1
505167,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,250,2,,,2,,1,9,,,,1,1
505228,1,1,1,1,1,,2,,,,,,1,1,2,,,1,1,2,,700,2,,,1,3,1,10,,,,1,1
505390,1,2,2,2,2,80,1,2,,,,,1,4,2,,,1,3,2,,600,1,2,3,1,2,5,10,,,,1,2
505517,2,,,2,2,80,2,,,,,,2,,,,,1,1,2,,150,2,,,2,,2,8,,,,1,2
505525,2,,,1,1,,2,,,,,,2,,,,,2,,2,,200,2,,,1,3,1,8,,,,1,1
505534,2,,,2,2,80,3,,,,,,2,,,,,1,3,1,1,400,2,,,1,1,4,8,,,,1,4
505594,2,,,1,1,,2,,,,,,1,1,2,,,1,1,1,1,600,1,3,3,1,3,3,8,,,,1,1
505606,2,,,1,1,,2,,,,,,1,1,1,,,1,2,2,,500,2,,,1,3,4,7,,,,1,1
505681,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,400,2,,,2,,3,9,,,,1,1
505771,2,,,1,1,,2,,,,,,1,1,2,,,1,1,2,,500,2,,,2,,2,5,1,2,2,1,1
505806,2,,,1,1,,3,,,,,,2,,,,,1,1,2,,300,2,,,2,,3,8,,,,1,1
505818,1,1,2,2,3,50,2,,,,,,1,2,2,,,1,3,2,,1000,1,2,3,1,2,3,10,,,,1,3
505839,1,1,2,2,2,70,1,2,,,,,1,2,2,,,1,2,1,1,100,1,3,3,1,2,2,8,,,,1,4
506100,2,,,1,1,,2,,,,,,2,,,,,2,,2,,250,2,,,2,,0,10,,,,1,1
506107,2,,,1,1,,2,,,,,,2,,,,,1,2,1,2,1500,1,3,3,1,2,5,9,,,,1,3
506112,2,,,1,1,,2,,,,,,2,,,,,2,,2,,1000,2,,,2,,0,9,,,,1,1
506402,,,,1,1,,,,,,,,2,,,,,1,1,2,,500,2,,,2,,1,7,,,,1,1
506418,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,600,2,,,2,,0,7,,,,1,2
506565,2,,,2,2,80,2,,,,,,1,1,2,,,1,2,2,,200,1,3,3,1,2,1,6,,,,1,2
506628,2,,,2,2,15,2,,,,,,1,1,2,,,1,2,1,1,600,1,3,3,1,2,5,10,,,,1,3
506736,2,,,2,2,80,3,,,,,,2,,,,,1,1,2,,350,1,3,3,1,2,1,6,,,,1,2
506738,2,,,2,2,80,1,2,,,,,1,3,2,,,1,3,1,2,400,1,3,3,1,2,3,9,,,,1,3
