NQUEST,ASS2NEW1,ASS2NEW2,ASS2NEW3,ASS2NEW4,ASS2NEW5,ASS2NEW6,ASS1NEW1,ASS1NEW2,ASS1NEW3,ASS1NEW4,ASS1NEW5,ASS1NEW6,ASS4,ASS4S,ASS31,ASS3S1,ASS32,ASS3S2,ASS33,ASS3S3,DOCSEZF
908706,2,2,2,2,,,2,2,2,2,,,2,,1,1200,1,180,2,,2
908711,2,2,2,2,,,2,2,2,2,,,1,10,1,1500,1,250,2,,2
908864,2,2,2,,,,2,2,2,,,,2,,1,800,1,350,2,,2
909050,2,2,2,,,,2,2,2,,,,2,,1,1200,1,1500,2,,2
909113,,,,,,,2,,,,,,2,,2,,2,,2,,2
909133,2,2,,,,,2,2,,,,,2,,1,300,2,,2,,2
909236,2,,,,,,2,2,,,,,2,,1,500,1,400,1,700,2
909244,,,,,,,2,2,,,,,2,,1,700,1,300,2,,2
909250,,2,2,,,,2,2,2,,,,2,,1,240,1,500,2,,2
909256,2,,,,,,2,,,,,,2,,1,500,1,300,2,,2
909259,2,2,2,2,,,1,1,1,1,2,2,2,,2,,2,,1,200,2
909389,,,,,,,2,,,,,,2,,2,,2,,2,,2
909390,,,2,2,,,2,2,2,2,2,,2,,1,600,2,,2,,2
909399,,,,,,,2,2,,,,,2,,1,800,1,280,2,,2
909401,2,2,,,,,2,2,2,,,,2,,1,500,2,,2,,2
909441,2,2,,,,,2,2,2,,,,2,,1,600,2,,2,,2
909442,2,2,,,,,2,2,2,2,,,2,,1,1000,2,,2,,2
909471,2,,,,,,2,,,,,,2,,1,400,2,,2,,2
909480,2,,,,,,2,,,,,,2,,1,440,2,,2,,2
909493,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
909502,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
909623,2,2,,,,,2,2,2,,,,2,,1,500,2,,2,,2
909624,2,2,,,,,2,2,2,,,,2,,2,,2,,2,,2
909632,,,,,,,2,2,2,,,,1,650,1,900,1,160,2,,2
909639,,,,,,,2,2,,,,,2,,1,100,2,,2,,2
909668,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
909671,2,2,,,,,2,2,2,2,,,2,,1,500,2,,2,,2
909695,,2,,,,,2,2,,,,,2,,1,500,2,,2,,2
909727,,,,,,,2,,,,,,2,,1,260,2,,2,,2
909728,2,,2,,,,2,2,2,,,,2,,1,600,1,450,2,,2
909732,,,,,,,2,,,,,,1,600,1,400,1,400,2,,2
909737,,,,,,,2,,,,,,2,,2,,2,,2,,2
909744,,,,,,,1,,,,,,2,,1,480,1,450,2,,2
909745,2,2,2,2,,,2,2,2,2,,,2,,1,750,2,,2,,2
909753,,,,,,,2,2,,,,,2,,1,380,1,430,2,,2
909754,2,,,,,,2,2,,,,,2,,1,350,2,,2,,2
909798,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
909800,,,,,,,2,,,,,,2,,1,500,2,,2,,2
909856,2,2,,,,,1,1,2,,,,2,,1,2500,1,120,2,,2
909926,1,,,,,,1,,,,,,1,300,2,,2,,2,,2
909978,2,,,,,,2,,,,,,2,,1,1000,1,400,1,120,2
909997,2,,,,,,2,,,,,,2,,2,,2,,2,,2
910009,,,,,,,2,,,,,,2,,2,,2,,2,,2
910013,,,,,,,2,2,,,,,2,,2,,2,,2,,2
910042,2,2,,,,,2,2,,,,,2,,1,1500,2,,2,,2
910045,,,,,,,2,2,,,,,2,,2,,2,,2,,2
910051,2,2,,,,,2,2,,,,,2,,1,1200,2,,2,,2
910057,,,,,,,2,2,,,,,2,,2,,2,,2,,2
910061,,2,2,2,,,2,2,2,2,,,2,,1,2500,2,,2,,2
910065,2,1,,,,,2,2,,,,,2,,2,,2,,2,,2
910087,,,,,,,2,,,,,,2,,1,130,1,160,2,,2
910106,2,2,,,,,2,2,,,,,2,,1,640,2,,2,,2
910148,,2,2,,,,2,2,2,,,,2,,1,250,1,100,2,,2
910152,2,2,2,,,,2,2,2,,,,2,,1,900,2,,2,,2
910156,2,2,2,2,,,2,2,2,2,,,1,1500,1,700,2,,2,,2
910176,2,2,,,,,2,2,,,,,2,,1,490,2,,2,,2
910218,2,,,,,,2,,,,,,2,,1,320,1,350,2,,2
910236,,,,,,,2,,,,,,2,,2,,1,170,2,,2
910274,2,,,,,,1,2,,,,,2,,1,500,1,400,1,2000,2
910335,2,,2,,,,2,2,2,,,,2,,2,,2,,2,,1
910358,1,2,,,,,2,2,2,2,,,1,400,2,,1,1,2,,2
910373,2,,,,,,2,,,,,,2,,2,,2,,2,,2
910422,2,,,,,,2,,,,,,2,,2,,2,,2,,2
910476,2,,,,,,2,,,,,,2,,1,390,2,,2,,2
910480,2,2,,,,,2,2,,,,,2,,1,450,1,300,2,,2
910483,,,1,,,,2,2,2,,,,2,,1,1250,1,450,2,,1
910484,,,,,,,2,2,,,,,2,,1,750,1,400,2,,2
910485,,,,,,,2,,,,,,2,,1,450,1,300,2,,2
910503,2,2,2,,,,2,2,2,2,,,2,,1,650,2,,2,,2
910509,2,2,2,2,2,,2,2,2,2,2,,2,,1,900,2,,2,,2
910514,2,2,,,2,,2,2,2,2,2,2,2,,1,620,2,,2,,2
910519,1,1,,,,,2,2,2,2,,,2,,1,1100,1,350,2,,1
910525,,,,,,,2,,,,,,2,,2,,2,,2,,2
910528,,,,,,,2,2,,,,,1,1800,1,400,2,,2,,2
910561,2,1,,,,,2,2,2,2,,,2,,1,1000,2,,2,,2
910564,2,2,2,,,,2,2,2,,,,2,,1,500,2,,2,,2
910567,,,,,,,2,,,,,,2,,2,,2,,2,,2
910633,2,2,2,2,2,,2,2,2,2,2,2,2,,1,800,1,250,2,,2
910659,,,2,2,,,2,2,2,2,,,2,,2,,1,350,2,,2
910662,,,,,,,2,2,,,,,2,,1,370,2,,2,,2
910672,,,2,,,,2,2,2,,,,2,,1,300,1,200,2,,2
910675,,,,,,,2,2,,,,,2,,1,2000,2,,2,,2
910685,,2,,,,,2,2,,,,,2,,1,600,2,,2,,2
910686,2,2,,,,,2,2,2,2,2,,2,,1,320,1,500,2,,1
910703,,1,1,1,,,2,2,2,2,,,2,,1,1200,2,,2,,2
910714,1,1,,,,,2,2,,,,,2,,1,1100,1,250,2,,2
910757,2,2,,,,,2,2,,,,,2,,1,1500,2,,1,160,1
910814,2,2,2,,,,2,2,2,,,,2,,1,650,2,,2,,2
910816,2,2,2,,,,2,2,2,2,,,2,,1,500,2,,2,,2
910833,2,2,,,,,2,2,2,2,,,2,,1,600,2,,2,,2
910839,2,2,,,,,2,2,,,,,2,,1,460,1,160,2,,2
910841,,,,,,,2,,,,,,2,,2,,2,,2,,2
910842,,1,,,,,2,2,,,,,2,,1,300,1,200,2,,2
910859,,,,,,,2,,,,,,2,,1,550,2,,2,,2
910860,,2,2,,,,2,2,2,,,,2,,1,422,1,190,2,,2
910882,,,,,,,2,2,,,,,2,,1,1720,1,310,2,,2
910886,,,,,,,2,,,,,,2,,1,300,1,300,2,,2
910933,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
910937,,,,,,,2,2,,,,,2,,1,700,2,,2,,2
910951,2,2,2,,,,2,2,2,,,,2,,1,650,2,,2,,2
910974,,,,,,,1,,,,,,2,,1,450,2,,2,,2
910983,,,,,,,2,,,,,,2,,1,440,1,300,2,,2
910984,,,,,,,2,,,,,,2,,1,300,2,,2,,2
910994,,2,2,,,,2,2,2,,,,2,,1,400,2,,2,,2
911007,,,,,,,2,,,,,,2,,1,450,2,,2,,2
911033,,,,,,,2,,,,,,2,,2,,2,,2,,2
911047,2,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
911061,,2,,,,,2,2,,,,,2,,1,300,2,,2,,2
911071,,,,,,,2,,,,,,2,,2,,2,,2,,2
911078,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
911082,2,2,,,,,2,2,,,,,2,,1,500,1,400,1,200,1
911083,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
911087,2,2,,,,,2,2,2,2,,,2,,2,,2,,2,,2
911093,2,2,,,,,2,2,2,,,,2,,1,400,1,300,1,180,1
911115,2,,1,,,,1,1,2,,,,2,,1,900,1,180,2,,2
911116,,2,,,,,2,2,,,,,2,,1,790,2,,2,,1
911117,,,,,,,2,,,,,,2,,1,750,2,,2,,1
911118,,,,,,,2,,,,,,2,,1,1700,1,150,2,,1
911119,,,,,,,2,2,,,,,2,,1,616,1,660,2,,1
911120,,,,,,,2,,,,,,2,,2,,2,,2,,1
911133,2,,,,,,1,,,,,,2,,1,950,1,450,1,425,1
911158,,,,,,,2,2,,,,,2,,1,500,1,500,2,,2
911164,,,,,,,2,,,,,,2,,1,800,2,,2,,2
911168,,,,,,,2,2,,,,,2,,1,400,2,,2,,2
911175,1,1,,,,,2,2,2,2,,,1,3000,1,1500,2,,2,,2
911188,,,,,,,2,,,,,,2,,2,,2,,2,,2
911248,2,2,2,,,,2,2,2,,,,2,,1,500,2,,2,,2
911328,,,,,,,2,2,,,,,2,,1,185,2,,2,,2
911350,,,,,,,2,,,,,,2,,2,,2,,2,,2
911351,,,,,,,1,2,,,,,2,,1,1500,1,1000,1,300,2
911366,2,2,2,,,,2,2,2,,,,2,,1,1300,2,,2,,2
911371,1,,,,,,2,,,,,,2,,1,400,1,500,2,,2
911394,,,2,,,,2,2,2,,,,2,,1,1800,2,,1,80,2
911423,,,,,,,2,,,,,,1,3000,1,500,1,120,2,,2
911425,,,,,,,1,,,,,,2,,1,360,2,,2,,2
911448,2,1,,,,,2,1,,,,,2,,1,500,1,250,1,225,2
911470,,,,,,,2,,,,,,2,,2,,2,,2,,2
911482,,,,,,,2,,,,,,2,,2,,2,,2,,2
911509,,2,,,,,2,2,,,,,2,,1,500,2,,2,,2
911522,2,,,,,,2,,,,,,2,,2,,2,,2,,2
911531,,,,,,,2,2,,,,,2,,1,1200,2,,2,,2
911563,,,,,,,2,2,,,,,2,,1,700,2,,1,100,2
911579,,,,,,,2,,,,,,2,,2,,2,,2,,2
911580,1,,,,,,1,,,,,,1,2000,1,350,1,100,2,,1
911638,,,,,,,2,2,,,,,2,,1,1200,2,,2,,2
911652,2,2,,,,,2,2,2,,,,1,100,2,,2,,2,,2
911689,1,,,,,,2,,,,,,1,50,1,1150,1,80,2,,2
911706,2,2,2,2,,,2,2,2,2,2,,2,,2,,2,,2,,2
911811,,,,,,,2,,,,,,2,,2,,2,,2,,2
911816,2,,,,,,2,,,,,,2,,2,,1,300,2,,2
911871,1,2,2,2,,,1,2,2,2,,,1,1800,1,5000,1,5000,1,200,1
911889,1,2,2,,,,1,2,2,,,,1,100,1,400,2,,2,,2
911922,,,2,,,,2,2,2,,,,2,,1,900,1,220,2,,2
911938,1,1,,,,,2,2,,,,,1,0,1,400,1,160,2,,2
911952,,,,,,,2,2,,,,,2,,1,450,1,280,2,,2
911962,,,,,,,2,,,,,,2,,2,,1,646,1,140,2
911963,,2,,,,,2,2,,,,,2,,1,300,1,120,2,,2
911966,2,,,,,,2,2,,,,,2,,1,350,1,500,2,,2
911972,2,2,,,,,2,2,,,,,2,,1,600,2,,2,,2
911992,2,,,,,,2,,,,,,2,,1,600,2,,2,,2
911993,2,,,,,,2,,,,,,2,,1,230,1,270,2,,2
911997,,,,,,,2,2,,,,,2,,1,1200,2,,2,,2
912022,1,,,,,,1,,,,,,1,0,1,2200,1,600,1,600,2
912042,,,,,,,2,2,,,,,2,,1,800,2,,2,,2
912051,2,2,2,2,,,1,1,2,2,,,2,,1,1400,2,,1,450,2
912087,,2,2,,,,2,2,2,,,,2,,1,1500,2,,2,,2
912095,,2,2,,,,2,2,2,,,,2,,1,800,1,300,2,,2
912146,1,2,1,,,,2,2,2,,,,2,,1,1800,2,,2,,2
912147,,,,,,,2,2,,,,,1,1250,1,1600,1,538,2,,1
912148,2,,,,,,1,,,,,,2,,1,440,1,350,2,,2
912150,2,2,2,2,2,,2,2,2,2,2,,1,500,1,700,2,,2,,2
912151,2,2,2,,,,1,2,2,,,,2,,1,450,2,,2,,2
912154,2,2,,,,,2,2,2,,,,2,,1,900,2,,2,,2
912185,,2,2,,,,2,2,2,,,,2,,1,1500,2,,2,,2
912192,,,,,,,2,,,,,,2,,1,650,2,,2,,2
912205,2,1,,,,,2,1,,,,,2,,1,800,1,300,2,,2
912222,,,2,,,,2,2,2,,,,2,,1,600,2,,2,,2
912223,,,,,,,2,,,,,,2,,2,,2,,2,,2
912227,,,,,,,2,,,,,,2,,1,400,2,,2,,2
912229,,,,,,,2,2,,,,,2,,1,1200,2,,2,,2
912261,2,,,,,,2,,,,,,2,,2,,2,,2,,2
912262,,2,,,,,2,2,,,,,2,,1,320,2,,2,,2
912274,,2,2,,,,2,2,2,,,,2,,1,300,1,300,2,,2
912338,2,2,,,,,2,2,2,2,,,1,400,2,,2,,2,,2
912342,2,2,,,,,2,2,2,2,,,1,1000,2,,2,,2,,2
912360,,,,,,,2,,,,,,2,,2,,2,,2,,2
912362,,,,,,,2,2,,,,,2,,1,600,1,250,2,,2
912367,,,,,,,2,2,,,,,2,,1,600,2,,2,,2
912372,,,,,,,2,2,,,,,2,,2,,1,400,2,,2
912377,2,2,,,,,2,2,,,,,2,,1,5000,2,,2,,2
912382,2,1,,,,,2,1,2,2,2,,1,200,2,,2,,2,,2
912385,2,,,,,,2,,,,,,2,,2,,1,1500,2,,2
912398,,,,,,,2,,,,,,2,,2,,1,200,2,,2
912409,,,,,,,2,,,,,,2,,2,,2,,2,,2
912449,,,,,,,2,,,,,,2,,1,480,2,,2,,2
912451,,,,,,,2,2,,,,,2,,1,1000,2,,2,,2
912453,,,,,,,2,,,,,,2,,2,,2,,2,,2
912456,,,,,,,2,,,,,,2,,1,300,2,,2,,2
912482,2,,,,,,1,,,,,,1,550,1,621,1,345,1,105,1
912552,,,,,,,2,2,,,,,2,,1,340,1,60,2,,2
912555,2,2,2,,,,2,1,2,2,2,,2,,1,2300,2,,2,,2
912563,1,,,,,,1,,,,,,1,200,2,,2,,2,,2
912591,,,,,,,2,1,,,,,2,,1,1500,1,1000,2,,2
912597,,,,,,,2,2,,,,,2,,1,200,2,,2,,2
912634,2,,,,,,2,2,,,,,2,,1,890,2,,1,150,2
912635,,2,,,,,2,2,,,,,2,,1,700,2,,2,,2
912638,2,,,,,,2,,,,,,2,,1,300,2,,2,,1
912664,,1,,,,,1,1,2,2,,,2,,1,1600,1,200,2,,2
912694,2,,,,,,2,2,,,,,2,,1,300,2,,2,,1
912716,,,,,,,2,2,,,,,2,,1,550,2,,2,,2
912721,,,,,,,2,2,,,,,2,,1,1200,2,,2,,2
912731,,,,,,,1,2,,,,,2,,2,,2,,2,,2
912768,2,,,,,,2,,,,,,2,,2,,2,,2,,2
912815,,,,,,,2,,,,,,2,,1,480,1,1500,2,,2
912821,,,,,,,1,,,,,,2,,2,,1,620,2,,2
912891,,,,,,,2,2,,,,,2,,1,545,2,,2,,2
912905,2,,,,,,2,,,,,,1,0,1,1400,2,,1,1000,2
912947,1,,,,,,2,,,,,,2,,1,123,1,180,2,,2
913072,1,,,,,,2,,,,,,2,,1,600,2,,2,,2
913080,,2,,,,,2,2,,,,,2,,1,350,2,,2,,2
913151,,,,,,,2,2,,,,,2,,1,1300,2,,2,,2
913161,2,2,2,,,,2,2,2,,,,2,,1,700,2,,2,,2
913196,,,,,,,2,,,,,,2,,2,,2,,2,,2
913203,,2,,,,,2,2,,,,,2,,1,700,2,,2,,2
913207,,,,,,,2,2,,,,,2,,1,700,2,,2,,2
913208,2,2,2,,,,2,2,2,,,,2,,1,350,2,,2,,2
913216,2,,,,,,2,,,,,,2,,2,,2,,2,,2
913229,2,,,,,,2,,,,,,2,,2,,2,,2,,2
913236,,,,,,,2,,,,,,2,,1,650,2,,2,,2
913237,,,,,,,2,2,,,,,2,,1,580,2,,2,,2
913245,,,,,,,2,,,,,,2,,2,,2,,2,,2
913250,,,,,,,2,,,,,,2,,2,,2,,2,,2
913254,,2,,,,,2,2,,,,,2,,1,570,2,,2,,2
913259,2,,,,,,2,,,,,,2,,1,800,1,100,2,,2
913300,,2,,,,,2,2,,,,,2,,1,750,2,,2,,2
913307,,,,,,,1,2,,,,,2,,1,600,1,110,2,,2
913322,2,2,2,2,2,,2,2,2,2,2,2,2,,1,2000,2,,2,,2
913323,2,,,,,,2,,,,,,2,,1,1150,1,148,2,,2
913329,,,,,,,2,,,,,,2,,1,420,2,,2,,2
913345,,,,,,,2,2,,,,,2,,2,,1,500,2,,2
913415,2,,,,,,2,,,,,,2,,1,350,2,,2,,2
913420,,,2,,,,1,1,2,,,,2,,1,5000,2,,2,,2
913424,,,,,,,2,2,,,,,2,,1,2200,1,700,2,,2
913447,1,2,2,,,,1,2,2,2,,,2,,2,,2,,2,,2
913470,,2,,,,,2,2,,,,,2,,1,370,2,,2,,2
913471,,,,,,,2,2,,,,,2,,1,300,2,,2,,2
913472,,2,2,,,,2,2,2,,,,1,860,1,1200,1,200,2,,1
913474,,2,2,,,,2,2,2,,,,2,,1,1600,2,,2,,2
913481,2,2,2,,,,2,2,2,,,,2,,1,1200,2,,2,,2
913486,2,2,2,,,,2,2,2,,,,2,,1,1100,2,,2,,2
913487,,2,2,,,,2,2,2,,,,2,,1,700,2,,2,,2
913499,,,2,,,,2,2,2,,,,2,,1,1500,2,,2,,2
913564,,,,,,,2,,,,,,1,100,1,250,2,,2,,2
913577,1,,,,,,2,,,,,,1,2000,1,300,2,,2,,2
913612,,2,,,,,2,2,,,,,2,,1,950,2,,2,,2
913613,,2,1,,,,2,2,2,,,,2,,1,350,2,,2,,1
913645,,,,,,,2,,,,,,2,,2,,2,,2,,2
913646,2,,,,,,2,,,,,,2,,2,,1,280,2,,2
913651,,,2,,,,2,2,2,,,,2,,1,800,1,500,2,,2
913656,,,,,,,2,2,,,,,2,,1,800,1,300,2,,2
913658,2,,,,,,1,2,,,,,2,,1,700,1,500,2,,2
913660,,2,2,2,,,2,2,1,2,,,2,,1,1800,1,400,2,,2
913662,,,,,,,2,2,,,,,2,,1,800,1,400,2,,2
913668,2,2,,,,,2,2,,,,,2,,1,1000,1,500,2,,2
913669,2,2,2,,,,1,1,1,,,,2,,1,3000,1,400,2,,2
913681,2,,,,,,2,,,,,,2,,2,,2,,2,,2
913701,,,,,,,2,2,,,,,2,,1,1200,1,300,2,,2
913742,2,,,,,,2,,,,,,2,,2,,2,,2,,2
913752,1,1,2,,,,2,2,2,2,,,2,,1,400,1,120,1,20,2
913754,2,2,2,,,,2,2,2,,,,2,,1,2000,1,1000,1,3000,2
913766,2,2,2,,,,2,2,2,,,,2,,1,600,2,,2,,2
913767,,1,1,,,,2,2,2,,,,2,,1,900,1,200,2,,2
913768,1,1,,,,,2,2,2,,,,2,,2,,2,,2,,2
913777,2,2,,,,,2,2,,,,,2,,1,150,1,500,1,800,2
913779,2,,,,,,1,,,,,,2,,1,340,1,500,2,,2
913780,2,,,,,,1,,,,,,1,700,1,300,2,,1,800,2
913784,,,,,,,2,2,,,,,2,,2,,1,400,2,,2
913788,,2,,,,,2,2,,,,,2,,1,400,1,301,1,360,2
913826,,,,,,,2,,,,,,2,,1,400,1,120,2,,2
913827,,,,,,,2,,,,,,1,300,1,700,1,250,2,,2
913830,2,,,,,,2,,,,,,2,,2,,2,,2,,2
913874,,,,,,,2,,,,,,2,,2,,1,170,2,,2
913876,,,2,,,,2,2,2,,,,1,350,1,700,1,290,2,,2
913902,2,2,,,,,2,2,2,,,,1,1300,1,2700,1,430,2,,2
913909,1,,,,,,2,,,,,,2,,1,350,2,,2,,2
913912,,,1,,,,2,2,1,,,,2,,1,800,1,700,2,,2
913925,,,,,,,2,,,,,,2,,2,,1,200,2,,2
913926,2,1,2,2,2,2,2,2,2,2,2,2,2,,1,3000,1,1000,1,800,2
913933,1,2,1,1,2,,1,1,2,2,2,,1,1500,1,1400,1,380,2,,2
913934,1,1,1,1,2,,1,1,2,2,2,,1,400,1,800,1,500,2,,2
913946,1,,,,,,2,,,,,,1,100,1,300,1,200,2,,2
913950,2,2,,,,,2,2,2,2,2,,2,,1,600,2,,2,,2
913953,2,2,,,,,1,1,2,2,,,2,,1,600,1,260,2,,2
913954,1,1,,,,,1,1,2,2,2,,2,,1,900,1,230,2,,2
913961,,,,,,,1,,,,,,2,,2,,2,,2,,2
913962,2,,,,,,2,,,,,,2,,2,,2,,2,,2
913965,2,,,,,,2,,,,,,1,250,1,310,1,180,2,,2
914003,,,,,,,2,,,,,,2,,1,320,1,170,2,,2
914006,,,,,,,2,,,,,,2,,1,400,1,210,2,,2
914011,2,,,,,,2,2,,,,,2,,1,250,1,540,2,,2
914047,,,,,,,2,2,,,,,1,350,1,1040,1,590,2,,2
914051,,,,,,,2,2,,,,,2,,1,750,1,260,1,108,1
914055,,,,,,,2,2,,,,,2,,1,730,1,249,2,,2
914056,,,,,,,2,2,,,,,2,,1,320,1,240,2,,2
914059,,,,,,,1,,,,,,2,,2,,2,,2,,2
914060,,,,,,,2,,,,,,2,,2,,2,,2,,2
914113,,,,,,,2,,,,,,2,,1,300,1,310,2,,2
914137,,,,,,,2,2,,,,,2,,2,,2,,2,,2
914144,,,,,,,2,,,,,,2,,1,158,2,,2,,2
914148,1,,,,,,2,,,,,,2,,1,640,1,450,1,6500,2
914149,2,2,2,,,,2,2,2,,,,1,1120,1,2000,1,150,1,130,1
914186,,2,,,,,2,2,,,,,2,,1,600,1,300,1,700,2
914187,,,,,,,2,1,,,,,1,620,1,1000,1,100,2,,2
914188,,,,,,,2,,,,,,2,,2,,1,200,2,,2
914190,,2,,,,,2,2,,,,,2,,1,260,1,150,2,,2
914280,,1,,,,,2,2,,,,,2,,1,800,2,,2,,2
914286,,2,,,,,1,2,,,,,2,,1,300,2,,2,,2
914406,1,,,,,,2,,,,,,2,,1,300,1,200,2,,2
914421,2,2,2,2,,,1,2,2,2,,,1,750,1,2000,1,450,1,20,2
914454,,2,,,,,2,2,,,,,2,,1,500,2,,2,,2
914456,,2,,,,,2,2,,,,,2,,2,,1,480,2,,2
914460,,2,,,,,2,2,,,,,2,,1,2000,2,,2,,2
914461,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
914508,,,,,,,2,2,,,,,2,,1,1000,2,,2,,1
914525,,2,,,,,2,2,,,,,2,,1,500,1,250,2,,2
914547,,2,,,,,2,2,,,,,2,,1,950,1,300,2,,2
914551,1,2,2,,,,2,2,2,,,,2,,1,1000,1,300,2,,2
914602,,2,,,,,2,2,,,,,2,,1,500,2,,2,,2
914611,2,,,,,,2,,,,,,2,,2,,2,,2,,2
914633,2,2,,,,,2,2,,,,,2,,1,420,1,200,2,,2
914635,,2,,,,,2,2,2,2,,,2,,2,,2,,2,,2
914637,,,,,,,2,2,,,,,2,,1,500,2,,2,,2
914640,,,,,,,1,,,,,,2,,2,,2,,2,,2
914646,1,2,,,,,2,2,,,,,1,150,1,400,2,,2,,2
914657,2,1,,,,,1,2,2,,,,2,,2,,2,,2,,2
914677,,,,,,,2,,,,,,2,,2,,2,,2,,2
914680,,,,,,,2,,,,,,2,,1,100,1,250,2,,2
914687,2,,,,,,2,,,,,,2,,2,,2,,2,,2
914699,2,2,2,,,,2,2,2,,,,2,,2,,1,100,2,,2
914706,2,2,2,2,,,1,1,2,2,,,2,,1,320,2,,2,,2
914715,1,2,,,,,2,2,,,,,1,120,1,600,2,,2,,2
914722,,,,,,,2,,,,,,2,,1,630,2,,2,,2
914733,,,,,,,2,2,,,,,2,,1,500,2,,2,,2
914735,,,,,,,2,2,,,,,1,240,1,505,1,500,2,,2
914763,2,,,,,,2,,,,,,2,,2,,2,,2,,2
914801,1,1,2,,,,2,2,2,,,,1,1000,1,1200,2,,2,,2
914828,2,,,,,,2,,,,,,2,,2,,2,,2,,2
914849,2,2,2,2,,,2,2,2,2,,,2,,1,1300,2,,2,,2
914874,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
914877,2,,,,,,2,,,,,,2,,1,700,2,,2,,1
914902,1,,,,,,2,,,,,,2,,1,400,2,,2,,2
914912,,2,2,,,,2,2,2,,,,2,,1,420,2,,2,,2
914913,,,,,,,2,,,,,,2,,1,600,2,,2,,2
914914,,2,2,,,,2,2,2,,,,2,,1,1000,1,500,2,,2
914934,,,,,,,1,,,,,,2,,1,700,2,,2,,2
914956,,2,,,,,2,2,,,,,2,,1,800,2,,2,,2
914962,,,2,,,,2,2,2,,,,2,,1,1250,2,,2,,2
914966,,,,,,,2,2,,,,,2,,1,800,2,,2,,2
915002,,,2,,,,2,2,2,,,,2,,1,800,2,,2,,2
915004,,2,,,,,2,2,,,,,2,,1,458,2,,2,,2
915008,,2,,,,,2,2,,,,,2,,1,600,1,200,2,,2
915010,,,,,,,2,2,,,,,2,,1,800,1,150,2,,2
915011,,,,,,,2,,,,,,2,,2,,2,,2,,2
915047,,,,,,,2,,,,,,2,,1,800,2,,2,,2
915051,,,,,,,2,2,,,,,2,,1,500,2,,2,,2
915053,,2,,,,,2,2,,,,,2,,1,800,2,,2,,2
915091,,,,,,,2,2,,,,,2,,1,850,1,200,2,,2
915096,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
915099,1,2,2,,,,2,2,2,,,,2,,1,1000,2,,2,,2
915104,2,2,,,,,2,2,,,,,2,,1,440,2,,2,,2
915107,2,,,,,,2,,,,,,2,,1,320,2,,2,,2
915110,2,2,2,,,,2,2,2,2,,,2,,1,450,2,,2,,2
915113,2,,,,,,2,2,,,,,2,,1,658,1,330,2,,2
915161,,2,,,,,1,2,,,,,2,,2,,2,,2,,2
915165,,2,,,,,2,2,,,,,2,,1,500,2,,2,,2
915197,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
915212,1,,,,,,1,,,,,,2,,1,800,2,,2,,2
915224,2,2,,,,,2,2,,,,,2,,1,850,2,,2,,2
915234,2,,2,,,,2,2,2,,,,2,,1,1200,2,,2,,2
915236,2,2,2,,,,2,2,2,,,,2,,1,1900,2,,2,,2
915242,,2,2,,,,2,2,2,,,,2,,1,1300,2,,2,,2
915243,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,3000,2,,2,,2
915250,2,1,2,,,,2,2,2,,,,2,,1,1800,2,,2,,2
915318,,,,,,,2,,,,,,2,,2,,2,,2,,2
915320,,,,,,,2,2,,,,,2,,1,400,1,200,2,,2
915336,,,,,,,2,,,,,,2,,2,,2,,2,,2
915338,2,1,,2,,,2,2,2,2,,,2,,1,500,2,,2,,2
915372,,,2,2,,,2,2,2,2,,,2,,1,1000,1,600,2,,2
915377,,2,,,,,2,2,,,,,2,,1,280,2,,2,,2
915413,2,2,,,,,2,2,,,,,2,,1,300,1,100,2,,2
915421,,,,,,,2,,,,,,2,,2,,1,500,2,,1
915455,,,,,,,2,,,,,,2,,1,350,1,300,2,,2
915468,,2,,,,,2,2,,,,,2,,1,450,2,,2,,2
915470,2,,,,,,2,,,,,,2,,2,,2,,2,,2
915488,1,,,,,,2,,,,,,1,0,1,600,2,,1,120,2
915506,,,,,,,2,2,,,,,2,,1,1000,2,,2,,2
915507,,,,,,,2,,,,,,1,350,1,400,2,,2,,2
915513,2,2,2,,,,2,1,2,,,,2,,1,1350,2,,2,,2
915528,1,,,,,,2,,,,,,2,,1,500,1,200,2,,2
915569,,,,,,,2,2,,,,,2,,1,1000,1,500,2,,2
915571,2,2,2,2,,,2,2,2,2,2,,1,500,1,1000,1,500,2,,2
915578,1,1,,,,,2,2,2,2,,,1,100,1,650,1,380,2,,2
915580,2,2,,,,,2,2,2,,,,2,,1,650,1,300,2,,2
915632,2,,,,,,2,2,,,,,2,,1,420,1,100,2,,2
915636,2,,,,,,2,,,,,,2,,2,,1,200,2,,2
915646,2,,,,,,2,,,,,,2,,2,,2,,2,,2
915653,2,2,2,,,,1,1,2,2,,,2,,1,1000,1,600,2,,2
