NQUEST,ASS2NEW1,ASS2NEW2,ASS2NEW3,ASS2NEW4,ASS2NEW5,ASS2NEW6,ASS1NEW1,ASS1NEW2,ASS1NEW3,ASS1NEW4,ASS1NEW5,ASS1NEW6,ASS4,ASS4S,ASS31,ASS3S1,ASS32,ASS3S2,ASS33,ASS3S3,DOCSEZF
636206,2,2,,,,,2,2,,,,,2,,2,,2,,2,,1
636289,,,,,,,2,2,,,,,2,,1,250,1,250,2,,2
636401,,,,,,,2,,,,,,2,,2,,2,,2,,2
636407,,,,,,,2,2,,,,,2,,2,,2,,2,,2
636418,,,,,,,2,2,,,,,2,,2,,2,,2,,2
637701,,,2,2,,,2,2,2,2,,,2,,1,980,1,100,2,,2
638250,,2,,,,,2,2,,,,,2,,1,430,1,250,2,,2
638339,,,,,,,2,2,,,,,2,,1,460,2,,2,,2
638360,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
639013,2,2,,,,,2,2,,,,,2,,1,420,2,,2,,2
639331,2,2,,,,,2,2,,,,,2,,1,1000,1,350,2,,2
639575,,,,,,,2,,,,,,2,,1,900,2,,2,,2
639924,2,2,2,,,,2,2,2,,,,2,,1,300,2,,1,200,1
639971,2,2,2,2,2,,2,2,2,2,2,,2,,1,700,2,,2,,2
640164,,,,,,,2,2,,,,,2,,1,600,2,,2,,2
641084,2,,,,,,2,,,,,,2,,2,,2,,2,,2
648534,,2,,,,,2,2,,,,,2,,1,450,2,,2,,2
648636,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
649032,2,2,,,,,2,2,,,,,2,,1,500,1,250,2,,2
649054,2,2,2,,,,2,2,2,2,,,2,,1,1000,2,,2,,2
649071,2,,,,,,2,2,,,,,2,,1,300,1,180,2,,2
649089,2,2,2,2,,,2,2,2,2,2,,2,,1,2500,2,,2,,2
650027,,,,,,,2,,,,,,2,,1,420,2,,2,,1
650091,,,2,,,,2,2,2,,,,2,,1,300,2,,2,,2
670362,,,,,,,2,2,,,,,2,,1,500,2,,2,,2
670485,2,2,,,,,2,2,,,,,2,,1,1200,2,,2,,2
670670,,,,,,,2,2,,,,,2,,1,480,2,,2,,2
670711,2,,,,,,2,2,2,,,,2,,2,,2,,2,,2
670762,2,,,,,,2,,,,,,2,,1,300,2,,2,,2
670853,2,,2,,,,2,2,2,,,,2,,1,380,2,,2,,2
670857,2,2,2,2,2,,2,2,2,2,2,,2,,1,620,2,,2,,2
671152,2,2,,,,,2,2,2,2,,,2,,1,800,2,,2,,2
671153,,2,,,,,2,2,,,,,2,,1,4600,1,2300,2,,2
671206,1,2,2,,,,1,1,2,2,,,1,0,1,1400,1,400,1,250,1
671362,2,,,,,,2,,,,,,2,,1,500,1,320,2,,1
671480,1,2,2,,,,2,2,2,2,,,2,,1,350,2,,2,,2
671520,2,2,2,,,,2,2,2,,,,1,240,1,800,2,,2,,2
671698,,2,2,,,,2,2,2,,,,2,,1,1500,2,,2,,2
671841,2,2,2,,,,2,2,2,,,,1,1200,1,3400,2,,2,,1
671893,2,2,2,,,,2,2,2,2,,,2,,1,550,2,,2,,2
672417,2,2,,,,,2,2,2,,,,2,,1,850,1,150,2,,2
672486,,,,,,,2,2,,,,,2,,1,300,2,,2,,1
672541,,,,,,,2,2,,,,,1,1000,2,,2,,2,,2
672620,,,,,,,2,2,,,,,2,,1,470,1,250,2,,2
672679,,2,,,,,2,2,,,,,2,,1,900,2,,2,,2
673050,,,,,,,2,2,,,,,2,,1,800,2,,2,,2
673051,,,,,,,2,,,,,,2,,2,,2,,2,,2
673145,2,2,2,2,,,1,1,2,2,,,2,,1,700,1,350,2,,2
673451,,,,,,,1,1,,,,,2,,1,590,2,,2,,2
673452,2,2,2,,,,2,2,2,,,,2,,1,600,2,,2,,2
