NQUEST,nord,INTPER,nattivita,TUTTANNO,MESILAV,DOVELAV,ORARIO,ORETOT,FATLOR,YM
964322,1,1,1,1,,2,2,45,11800,11200
964337,1,1,1,3,,2,2,24,2000,1200
968772,1,1,1,3,,1,3,4,3000,-2000
968772,2,2,1,3,,2,2,10,2500,2000
970185,1,1,1,2,8,2,1,35,6000,5000
971166,4,1,1,3,,2,2,10,930,930
973304,1,1,1,2,4,2,2,38,7500,6000
973396,2,2,1,1,,1,1,30,40000,25000
973405,2,1,1,3,,2,2,35,500,500
975476,1,1,1,2,2,2,2,20,2000,1400
975476,2,1,1,2,1,2,2,25,1500,1200
