NQUEST,nord,INTPER,CASD,CIGRED,CIGMESI,CIGORE,CASV,MOBD,MOBV,DISD,DISV,LIQD,LIQV,ACED,ACEV,APLD,APLV,AIPD,AIPV,BORSAD,BORSAV,RRD,RRV,ROD,ROV,ALIMD,ALIMV,ASCD,ASCV,ALTRED,ALTREV
684886,1,1,,,,,,,,,,,,,,,,,,2,,1,1500,2,,1,400,2,,2,
684886,2,1,,,,,,,,,,,,,,,,,,2,,1,1500,1,500,2,,2,,2,
685296,1,1,1,1,1,32,,2,,2,,2,,,,,,,,,,,,,,,,,,,
685368,3,2,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
685905,1,1,1,1,9,13,,2,,2,,1,5608,,,,,,,,,,,,,,,,,,
685905,2,1,1,1,12,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
685905,4,1,,,,,,,,,,,,,,,,,,1,5000,2,,2,,2,,2,,2,
686528,1,1,2,,,,,2,,1,2000,2,,,,,,,,,,,,,,,,,,,
686528,3,1,1,1,2,170,,2,,2,,2,,,,,,,,,,,,,,,,,,,
686528,4,1,,,,,,,,,,,,2,,1,500,2,,,,,,,,,,,,,
687321,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
687321,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
687699,2,1,1,2,,,700,2,,2,,2,,,,,,,,,,,,,,,,,,,
687987,1,1,1,1,1,30,,2,,2,,2,,,,,,,,,,,,,,,,,,,
688250,1,1,1,1,4,60,,2,,2,,2,,,,,,,,,,,,,,,,,,,
705116,1,1,,,,,,,,,,,,2,,1,800,2,,,,,,,,,,,,,
706234,2,2,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
708747,1,,,,,,,,,,,,,2,,1,250,2,,,,,,,,,,,,,
710165,2,1,1,2,,,5000,2,,2,,2,,,,,,,,,,,,,,,,,,,
710556,1,1,2,,,,,2,,1,3000,2,,,,,,,,,,,,,,,,,,,
710606,2,1,1,1,1,100,,2,,2,,2,,,,,,,,,,,,,,,,,,,
714238,2,3,,,,,,,,,,,,1,13000,2,,2,,,,,,,,,,,,,
714238,3,3,,,,,,,,,,,,,,,,,,2,,2,,1,1000,2,,2,,2,
714734,1,1,,,,,,,,,,,,2,,1,500,2,,,,,,,,,,,,,
723207,1,1,2,,,,,2,,1,1900,2,,2,,2,,2,,,,,,,,,,,,,
723207,2,1,2,,,,,2,,1,2500,2,,2,,2,,2,,,,,,,,,,,,,
724213,1,,1,1,10,112,,2,,2,,2,,,,,,,,,,,,,,,,,,,
724523,1,,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
724543,1,1,1,,,,427,2,,2,,2,,,,,,,,,,,,,,,,,,,
724543,4,1,,,,,,,,,,,,2,,2,,1,2000,,,,,,,,,,,,
726906,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,2000
727477,2,2,,,,,,,,,,,,1,8000,2,,2,,,,,,,,,,,,,
732013,2,1,1,2,,,1440,2,,2,,2,,,,,,,,,,,,,,,,,,,
732013,3,1,,,,,,,,,,,,,,,,,,1,2500,2,,2,,2,,2,,2,
733216,3,3,,,,,,,,,,,,2,,1,2800,2,,1,250,2,,2,,2,,2,,2,
733363,1,1,2,,,,,2,,1,1300,2,,,,,,,,,,,,,,,,,,,
736011,2,1,,,,,,,,,,,,1,490,2,,2,,,,,,,,,,,,,
736917,1,1,1,1,2,4,,2,,2,,2,,,,,,,,,,,,,,,,,,,
800010,2,1,1,1,1,160,,2,,1,1600,2,,,,,,,,,,,,,,,,,,,
801221,3,1,2,,,,,2,,1,3000,2,,,,,,,,,,,,,,,,,,,
801279,1,1,1,2,,,1500,2,,2,,2,,,,,,,,,,,,,,,,,,,
801279,2,2,1,2,,,900,2,,2,,2,,,,,,,,,,,,,,,,,,,
801955,1,1,,,,,,,,,,,,1,10800,2,,2,,,,,,,,,,,,,
807054,1,1,2,,,,,2,,1,1500,2,,,,,,,,,,,,,,,,,,,
807146,1,2,1,1,1,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
808122,1,,1,2,,,2600,2,,2,,2,,1,1000,2,,2,,,,,,,,,,,,,
810855,1,,2,,,,,2,,1,9500,2,,,,,,,,,,,,,,,,,,,
811793,1,1,1,1,1,151,,2,,2,,2,,,,,,,,,,,,,,,,,,,
812006,2,2,2,,,,,2,,1,5000,2,,,,,,,,,,,,,,,,,,,
813729,1,1,1,2,,,2400,2,,2,,2,,,,,,,,,,,,,,,,,,,
814889,1,1,,,,,,,,,,,,1,1700,2,,2,,,,,,,,,,,,,
816383,2,1,,,,,,,,,,,,1,5800,2,,2,,,,,,,,,,,,,
816383,3,3,,,,,,,,,,,,,,,,,,2,,2,,2,,1,3000,2,,2,
816897,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
818640,1,1,,,,,,,,,,,,1,460,2,,2,,,,,,,,,,,,,
819156,1,1,2,,,,,2,,1,2000,2,,,,,,,,,,,,,,,,,,,
819156,3,3,,,,,,,,,,,,,,,,,,1,300,2,,2,,2,,2,,2,
820115,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,8400
823258,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,100
824808,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
824824,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
824824,4,1,,,,,,,,,,,,,,,,,,2,,1,200,2,,2,,2,,2,
824891,2,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
826234,1,1,1,1,4,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
826362,3,1,1,2,,,800,2,,2,,2,,,,,,,,,,,,,,,,,,,
826744,1,1,1,2,,,1500,2,,2,,2,,,,,,,,,,,,,,,,,,,
826744,2,1,1,2,,,1350,2,,2,,2,,,,,,,,,,,,,,,,,,,
826744,3,1,1,2,,,1100,2,,2,,2,,,,,,,,,,,,,,,,,,,
827188,3,1,,,,,,,,,,,,1,700,2,,2,,,,,,,,,,,,,
852070,4,1,,,,,,,,,,,,,,,,,,1,2800,2,,2,,2,,2,,2,
852140,2,1,1,1,8,100,,2,,2,,2,,1,200,2,,2,,,,,,,,,,,,,
854593,2,1,1,1,3,150,,2,,2,,2,,,,,,,,,,,,,,,,,,,
855268,1,1,2,,,,,2,,1,2386,2,,,,,,,,,,,,,,,,,,,
855268,3,1,2,,,,,2,,1,2000,2,,,,,,,,,,,,,,,,,,,
855417,2,1,1,2,,,1200,2,,2,,2,,,,,,,,,,,,,,,,,,,
855839,1,1,2,,,,,2,,1,10000,2,,,,,,,,,,,,,,,,,,,
856963,1,,,,,,,,,,,,,2,,1,5500,2,,,,,,,,,,,,,
858712,1,1,1,2,,,4000,2,,2,,2,,,,,,,,,,,,,,,,,,,
860127,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,34000
860353,1,1,1,1,1,30,,2,,2,,2,,,,,,,,,,,,,,,,,,,
860704,2,1,,,,,,,,,,,,1,1240,2,,2,,,,,,,,,,,,,
860704,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,350,2,,2,,2,
860704,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,350,2,,2,,2,
860799,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,1000
860799,2,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,1000
860799,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,1000
860799,4,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,1000
860940,1,1,1,1,2,25,,2,,2,,2,,,,,,,,,,,,,,,,,,,
862583,1,1,1,2,,,700,2,,2,,2,,,,,,,,,,,,,,,,,,,
862583,2,2,1,2,,,300,2,,2,,2,,,,,,,,,,,,,,,,,,,
862583,3,2,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
862604,1,1,,,,,,,,,,,,1,4000,2,,2,,,,,,,,,,,,,
863333,1,1,2,,,,,2,,1,2600,2,,,,,,,,,,,,,,,,,,,
863333,2,1,1,2,,,840,2,,2,,2,,,,,,,,,,,,,,,,,,,
864754,2,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
864809,3,1,,,,,,,,,,,,1,2200,2,,2,,,,,,,,,,,,,
865483,2,1,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
867914,3,1,,,,,,,,,,,,,,,,,,1,1000,2,,1,3000,2,,2,,2,
868093,1,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
868337,2,1,1,1,2,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
868805,1,2,1,1,4,100,,2,,2,,2,,,,,,,,,,,,,,,,,,,
868805,2,2,,,,,,,,,,,,1,9500,2,,2,,,,,,,,,,,,,
871697,3,1,1,2,,,1000,2,,2,,2,,,,,,,,,,,,,,,,,,,
874330,4,3,1,1,2,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
874593,1,1,1,1,2,192,,2,,2,,2,,,,,,,,,,,,,,,,,,,
874670,1,1,1,2,,,900,2,,2,,2,,,,,,,,,,,,,,,,,,,
875095,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
875095,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
875095,5,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
875096,1,1,1,1,6,128,,2,,2,,2,,,,,,,,,,,,,,,,,,,
875096,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,1100,2,,2,,2,
875096,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,1100,2,,2,,2,
875542,1,,,,,,,,,,,,,2,,1,1700,2,,,,,,,,,,,,,
875851,1,1,2,,,,,2,,1,5000,2,,,,,,,,,,,,,,,,,,,
876020,3,1,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
876820,1,,1,2,,,1200,2,,2,,2,,,,,,,,,,,,,,,,,,,
877138,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,900,2,,2,,2,
877407,1,1,,,,,,,,,,,,2,,1,800,2,,,,,,,,,,,,,
877407,3,1,,,,,,,,,,,,,,,,,,1,1000,2,,1,300,2,,2,,2,
877473,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
877473,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
878173,1,,1,2,,,4400,2,,2,,2,,,,,,,,,,,,,,,,,,,
879883,1,,,,,,,,,,,,,1,400,2,,2,,,,,,,,,,,,,
881095,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,1000,2,,2,,2,
881817,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
881817,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
882143,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,6000,2,,2,
883500,2,1,1,1,1,48,,2,,2,,2,,,,,,,,,,,,,,,,,,,
883642,1,1,1,2,,,300,2,,2,,2,,,,,,,,,,,,,,,,,,,
883762,1,1,1,2,,,1300,2,,2,,2,,,,,,,,,,,,,,,,,,,
884570,1,,1,1,2,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
885625,2,1,1,1,4,24,,2,,2,,2,,,,,,,,,,,,,,,,,,,
886457,1,1,1,2,,,1100,2,,2,,2,,,,,,,,,,,,,,,,,,,
886604,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,2000,2,,2,,2,
886604,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
886604,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
887498,3,1,,,,,,,,,,,,,,,,,,2,,1,300,2,,2,,2,,2,
887498,4,1,,,,,,,,,,,,,,,,,,2,,1,200,2,,2,,2,,2,
887611,1,1,2,,,,,2,,1,1500,1,7000,,,,,,,,,,,,,,,,,,
887611,2,1,,,,,,,,,,,,2,,1,4000,2,,,,,,,,,,,,,
887614,3,1,,,,,,,,,,,,,,,,,,1,200,2,,2,,2,,2,,2,
887755,1,1,1,1,4,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
888112,2,1,1,1,2,120,,2,,2,,2,,,,,,,,,,,,,,,,,,,
888606,2,1,,,,,,,,,,,,2,,1,2000,2,,,,,,,,,,,,,
888843,1,1,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
888843,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,1,3600,2,,2,
889047,1,,2,,,,,2,,2,,1,30000,,,,,,,,,,,,,,,,,,
889109,1,,,,,,,,,,,,,1,4000,2,,2,,,,,,,,,,,,,
889192,3,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
889497,1,1,1,2,,,1800,2,,2,,2,,,,,,,,,,,,,,,,,,,
889497,3,1,1,2,,,500,2,,2,,2,,,,,,,,,,,,,,,,,,,
889710,3,1,,,,,,,,,,,,,,,,,,1,1800,1,2800,2,,2,,2,,2,
889719,1,1,1,2,,,1000,2,,2,,2,,,,,,,,,,,,,,,,,,,
889722,2,1,1,2,,,7500,2,,2,,2,,,,,,,,,,,,,,,,,,,
889740,1,1,1,2,,,3800,2,,1,1100,2,,,,,,,,,,,,,,,,,,,
890101,1,,1,1,3,120,,2,,2,,2,,,,,,,,,,,,,,,,,,,
892710,1,1,1,1,1,40,,2,,2,,2,,2,,1,800,2,,,,,,,,,,,,,
892710,2,2,1,1,1,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
893538,2,1,1,2,,,1800,2,,2,,2,,,,,,,,,,,,,,,,,,,
893579,1,1,,,,,,,,,,,,1,1200,1,100,2,,,,,,,,,,,,,
894447,1,1,1,2,,,600,2,,2,,2,,,,,,,,,,,,,,,,,,,
896608,1,,,,,,,,,,,,,,,,,,,2,,1,3000,2,,1,6000,2,,2,
896995,2,1,1,2,,,9000,2,,2,,2,,,,,,,,,,,,,,,,,,,
897127,3,1,1,1,2,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
898191,1,1,1,2,,,2700,2,,2,,2,,,,,,,,,,,,,,,,,,,
898191,2,1,1,2,,,5500,2,,2,,2,,,,,,,,,,,,,,,,,,,
898191,3,1,,,,,,,,,,,,1,800,2,,2,,,,,,,,,,,,,
898401,1,,1,2,,,2100,2,,2,,2,,,,,,,,,,,,,,,,,,,
898594,1,,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
899556,4,1,,,,,,,,,,,,,,,,,,1,3000,2,,2,,2,,2,,2,
900325,3,1,,,,,,,,,,,,,,,,,,1,3000,2,,2,,2,,2,,2,
900573,2,1,1,1,6,70,,2,,2,,2,,,,,,,,,,,,,,,,,,,
900673,1,1,1,1,1,160,,2,,2,,2,,1,500,2,,2,,,,,,,,,,,,,
900829,1,1,1,2,,,3000,2,,2,,2,,,,,,,,,,,,,,,,,,,
901474,3,1,,,,,,,,,,,,1,7800,2,,2,,,,,,,,,,,,,
902916,1,1,1,2,,,1000,2,,2,,2,,,,,,,,,,,,,,,,,,,
902916,3,1,1,2,,,350,2,,2,,2,,,,,,,,,,,,,,,,,,,
903508,2,1,,,,,,,,,,,,1,7000,2,,2,,,,,,,,,,,,,
903613,2,2,2,,,,,2,,1,9500,2,,,,,,,,,,,,,,,,,,,
903735,1,,,,,,,,,,,,,1,4000,2,,2,,,,,,,,,,,,,
904236,1,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
904245,1,1,1,1,1,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
904245,2,1,1,1,3,140,,2,,2,,2,,,,,,,,,,,,,,,,,,,
904888,1,2,1,1,5,140,,2,,2,,2,,,,,,,,,,,,,,,,,,,
906080,4,2,,,,,,,,,,,,1,6200,2,,2,,,,,,,,,,,,,
906436,2,1,1,1,2,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
906948,2,1,,,,,,,,,,,,1,6240,2,,2,,,,,,,,,,,,,
906948,3,1,,,,,,,,,,,,1,6240,2,,2,,,,,,,,,,,,,
907644,2,1,,,,,,,,,,,,2,,1,1200,2,,,,,,,,,,,,,
908706,1,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
908706,2,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
908711,1,1,1,1,1,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
908711,2,1,1,1,1,120,,2,,2,,2,,,,,,,,,,,,,,,,,,,
908711,3,1,1,1,1,60,,2,,2,,2,,,,,,,,,,,,,,,,,,,
909442,2,1,1,2,,,1000,2,,2,,2,,,,,,,,,,,,,,,,,,,
909442,3,1,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
909442,4,1,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
909668,1,1,,,,,,,,,,,,1,9500,2,,2,,,,,,,,,,,,,
909671,2,1,1,1,2,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
909745,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,600,2,,2,,2,
909745,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,800,2,,2,,2,
909754,1,,,,,,,,,,,,,,,,,,,2,,1,4000,1,1000,1,12000,2,,2,
909754,2,,,,,,,,,,,,,,,,,,,2,,2,,1,3000,2,,2,,2,
909978,1,,,,,,,,,,,,,2,,1,450,2,,,,,,,,,,,,,
910156,2,1,1,2,,,12350,2,,2,,2,,,,,,,,,,,,,,,,,,,
910503,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,1100,2,,2,,2,
910503,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,800,2,,2,,2,
910659,4,1,2,,,,,2,,1,2000,2,,,,,,,,,,,,,,,,,,,
910703,3,1,1,2,,,250,2,,2,,2,,,,,,,,,,,,,,,,,,,
910703,4,1,1,2,,,700,2,,2,,2,,,,,,,,,,,,,,,,,,,
910839,1,1,2,,,,,2,,1,3500,2,,,,,,,,,,,,,,,,,,,
910951,2,1,2,,,,,2,,1,2300,1,400,,,,,,,,,,,,,,,,,,
910994,2,2,1,1,10,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
911087,3,1,,,,,,,,,,,,2,,1,15000,2,,,,,,,,,,,,,
911093,2,1,1,1,4,30,,2,,2,,2,,,,,,,,,,,,,,,,,,,
911115,3,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
911448,1,1,1,2,,,400,2,,2,,2,,,,,,,,,,,,,,,,,,,
911652,3,1,,,,,,,,,,,,,,,,,,1,300,2,,2,,2,,2,,2,
911706,2,1,1,2,,,2000,2,,2,,2,,,,,,,,,,,,,,,,,,,
911871,4,1,,,,,,,,,,,,,,,,,,2,,1,150,1,5000,2,,2,,2,
911889,1,1,1,1,1,38,,2,,2,,2,,,,,,,,,,,,,,,,,,,
911938,2,1,1,1,1,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
911972,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,3600,2,,2,
911972,2,1,,,,,,,,,,,,1,2610,2,,2,,,,,,,,,,,,,
912095,2,1,1,1,1,60,,2,,2,,2,,,,,,,,,,,,,,,,,,,
912151,1,1,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
912154,1,1,1,2,,,10000,2,,2,,2,,2,,1,1000,2,,,,,,,,,,,,,
912482,1,,1,,,,2200,2,,2,,2,,,,,,,,,,,,,,,,,,,
912563,1,,1,2,,,2000,2,,2,,2,,,,,,,,,,,,,,,,,,,
912638,1,,2,,,,,2,,1,7300,2,,,,,,,,,,,,,,,,,,,
912905,1,,1,1,7,76,,2,,2,,1,40000,,,,,,,,,,,,,,,,,,
913161,3,1,1,2,,,4200,2,,1,1500,2,,,,,,,,,,,,,,,,,,,
913322,1,1,1,2,,,700,2,,2,,2,,,,,,,,,,,,,,,,,,,
913420,3,2,1,1,2,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
913447,3,2,,,,,,,,,,,,,,,,,,1,250,2,,2,,2,,2,,2,
913472,3,3,1,1,3,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
913660,4,1,1,1,3,30,,2,,2,,2,,,,,,,,,,,,,,,,,,,
913668,1,1,2,,,,,2,,1,6000,2,,,,,,,,,,,,,,,,,,,
913767,3,1,2,,,,,2,,2,,1,500,,,,,,,,,,,,,,,,,,
