NQUEST,ANABIT,GODABIT,UNIPRO,QUOPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS1,IMPACQ2,FITTONOP,TFITTONOP,TFITTO,TIPOAFF2,DFITTOM,TFITTOM,PROPRIET2,TFITIMP,RITAFF,SUPAB,ANCOSTR,BAGNI,VALABIT,ASPVALABIT1,ASPVALABIT2,ASPVALABIT3,ASPVALABIT4,ASPVALABIT5,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,ANTIC,ANTICIPI,DEBITA1,NDEBITA1,DEBITA2,NDEBITA2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,CHIFINMUT1,CHIFINCONS1,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR,FMUTRIF,MUTUOE,MUTUORIF,REAPMUT,MUTUOR3,MUTUOE3,REAPMUT3,MUTUORIC,MUTUORIC3,DOCSEZD
24147,1978,1,1,,1978,1,0,0,0,0,0,0,0,0,3,100000,,,,,,,,1800,,140,1900,2,800000,0,0,0,100,0,1,5,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
24809,1979,1,1,,1979,1,0,0,0,0,0,0,0,0,1,30000,,,,,,,,500,,90,1979,1,250000,10,10,50,15,15,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
24853,1991,1,1,,1991,1,0,0,0,0,0,0,0,0,5,75000,,,,,,,,600,,81,1991,2,250000,0,0,100,0,0,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
27114,1966,1,1,,1966,1,0,0,0,0,0,0,0,0,3,50000,,,,,,,,500,,90,1950,1,80000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
27116,1950,1,2,50,1963,1,0,0,0,0,0,0,0,0,1,10000,2,,,,,,,500,,130,1920,2,600000,0,100,0,0,0,1,2,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
27238,2009,1,1,,2009,1,0,0,0,0,0,0,0,0,5,20000,,,,,,,,400,,60,2009,1,70000,0,0,0,100,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
27730,1970,1,1,,1968,1,1,0,0,0,0,0,0,0,1,6000,,,,,,,,450,,82,1968,1,90000,10,30,10,25,25,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
27734,1981,1,1,,1980,1,1,0,0,0,0,0,0,0,1,19000,,,,,,,,400,,55,1978,1,85000,10,10,30,20,30,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
27739,2020,2,,,,1,0,0,0,0,0,0,0,0,,,,,350,3,2,,1,,2,45,1965,1,60000,20,30,10,10,30,1,2,1,3,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
27742,1951,1,1,,1951,1,0,0,0,0,0,0,0,0,5,2500,,,,,,,,300,,70,1950,1,110000,10,0,10,40,40,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
27912,1960,1,1,,1960,1,1,0,0,0,0,0,0,0,3,50000,,,,,,,,500,,90,1960,2,180000,0,20,20,25,35,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1
27923,1962,1,1,,1962,1,0,0,0,0,0,0,0,0,3,70000,,,,,,,,500,,120,1962,2,200000,0,20,30,30,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
28992,1983,1,1,,1983,1,0,0,0,0,0,0,0,0,1,26000,,,,,,,,600,,90,1970,1,110000,0,20,80,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
29140,1978,1,1,,1965,1,0,0,0,0,0,0,0,0,5,4000,,,,,,,,700,,90,1965,1,300000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
29678,1957,1,1,,1957,1,1,0,0,0,0,0,0,0,2,2000,,,,,,,,450,,180,1950,2,130000,100,0,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
29680,1989,1,1,,1989,1,0,0,0,0,0,0,0,0,2,70000,,,,,,,,600,,120,1980,2,130000,30,20,50,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
29737,2003,1,1,,2002,0,1,0,0,0,0,0,0,0,3,300000,,,,,,,,550,,90,1968,2,250000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
31093,1980,1,1,,1978,1,0,0,0,0,0,0,0,0,1,150000,,,,,,,,1000,,80,1975,1,220000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1
31220,1988,1,1,,1985,1,1,0,0,0,0,0,0,0,5,100000,,,,,,,,650,,170,1985,2,120000,0,0,100,0,0,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
31221,1976,1,1,,1966,1,1,0,0,0,0,0,0,0,5,15000,,,,,,,,1000,,390,1966,2,900000,0,0,100,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
31625,1978,1,2,50,2018,1,0,0,0,0,0,0,0,0,3,200000,2,,,,,,,800,,100,1978,2,200000,0,0,100,0,0,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
31652,1975,1,1,,1977,0,1,0,0,0,0,0,0,0,3,70000,,,,,,,,350,,110,1965,1,110000,20,20,10,20,30,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
31695,1987,1,1,,2013,1,0,0,0,0,0,0,0,0,3,250000,,,,,,,,600,,120,1964,2,280000,0,0,100,0,0,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,,2,2,,2,,2,,,,,2,,,2,2,2
31724,1990,1,1,,1990,1,1,0,0,0,0,0,0,0,1,80000,,,,,,,,700,,75,1975,1,350000,0,25,50,25,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1
31757,1967,1,2,75,1988,1,0,0,0,0,0,0,0,0,1,2500,2,,,,,,,600,,55,1962,1,130000,0,50,50,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
31860,1999,1,1,,1999,1,1,0,0,0,0,0,0,0,1,60000,,,,,,,,500,,108,1968,2,130000,30,10,30,30,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,1,2,1,,,,,,,,2
32057,2014,1,1,,2010,1,0,0,0,0,0,0,0,0,3,70000,,,,,,,,200,,60,1966,1,50000,80,20,0,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
32190,1985,1,2,50,1985,1,0,0,0,0,0,0,0,0,1,25000,2,,,,,,,400,,50,1970,1,70000,10,20,50,10,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
32320,2004,1,1,,2004,1,1,0,0,0,0,0,0,0,1,150000,,,,,,,,800,,75,2004,2,400000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
32471,1963,5,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,1,300,,90,1949,1,65000,0,40,60,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
32524,1976,1,1,,1975,1,0,0,0,0,0,0,0,0,1,13427,,,,,,,,800,,110,1975,2,300000,0,10,20,50,20,1,2,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
32556,1988,5,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,1,400,,140,1963,1,80000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,1,1,,,,2
32729,1977,1,1,,2013,1,0,0,0,0,0,0,0,0,3,400000,,,,,,,,800,,140,1974,2,400000,0,0,0,100,0,1,1,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,,2,2,2,,2,,2,,,,,2,,,2,2,2
32734,2017,2,,,,1,0,0,0,0,0,0,0,0,,,,,450,1,2,,1,,2,67,1965,1,130000,0,0,0,100,0,2,,2,,2,,2,,2,,,,2,,1,1,2,,2,,2,,2,,,1,2,2,,2,,2,,,,,2,,,2,2,2
32765,1990,1,1,,1998,0,1,0,0,0,0,0,0,0,4,5000,,,,,,,,600,,160,1900,2,400000,0,0,50,50,0,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
32772,1971,1,1,,1971,1,1,0,0,0,0,0,0,0,1,42500,,,,,,,,500,,100,1971,1,140000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
32822,1971,2,,,,1,0,0,0,0,0,0,0,0,,,,,270,2,1,400,2,,2,100,1957,1,100000,0,0,100,0,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
32839,1980,1,1,,1980,1,1,0,0,0,0,0,0,0,5,50000,,,,,,,,450,,120,1980,2,270000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
32861,1972,1,1,,1972,1,0,0,0,0,0,0,0,0,5,10000,,,,,,,,350,,100,1972,2,180000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
32887,2006,1,1,,2005,1,1,0,0,0,0,0,0,0,1,700000,,,,,,,,2000,,530,1974,2,740000,0,0,100,0,0,1,2,1,2,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,1,,2,2,,2,,2,,,,,1,1,,,,2
33036,1961,2,,,,,,,,,,,,,,,,,55,4,1,350,4,,2,65,1956,1,100000,0,0,0,0,100,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
33038,1985,1,1,,1984,0,1,0,0,0,0,0,0,0,3,60000,,,,,,,,250,,60,1900,2,120000,50,40,10,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
33275,1978,1,1,,1979,0,1,0,0,0,0,0,0,0,2,100000,,,,,,,,800,,100,1969,2,300000,10,0,40,40,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
33303,1967,1,1,,1967,0,1,0,0,0,0,0,0,0,4,10000,,,,,,,,400,,70,1950,2,150000,0,0,100,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
33335,1985,1,1,,1999,1,1,0,0,0,0,0,0,0,4,75000,,,,,,,,500,,115,1983,2,150000,0,0,100,0,0,2,,1,4,1,1,2,,2,,2,,1,1,2,,2,,2,,2,,2,,3,,2,2,,2,,2,,,,,2,,,2,2,2
33451,2019,2,,,,,,,,,,,,,,,,,700,1,2,,2,,2,180,1980,2,400000,0,0,100,0,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
33479,1969,1,1,,1969,1,1,0,0,0,0,0,0,0,1,60000,,,,,,,,800,,100,1967,2,400000,0,0,0,100,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
33839,1981,1,1,,1978,1,0,0,0,0,0,0,0,0,1,20000,,,,,,,,500,,110,1978,1,170000,5,20,50,15,10,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
33882,1996,1,1,,1996,1,1,0,0,0,0,0,0,0,1,250000,,,,,,,,600,,170,1995,2,200000,20,20,60,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
33937,1988,4,,,,,,,,,,,,,,,,,,,,,1,700,,120,1987,2,250000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
34252,1979,1,1,,1950,1,1,0,0,0,0,0,0,0,4,100000,,,,,,,,500,,100,1950,1,100000,0,20,40,20,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
34778,2000,1,1,,2000,1,0,0,0,0,0,0,0,0,3,70000,,,,,,,,450,,75,1990,2,70000,20,30,10,30,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
34825,1995,1,1,,1995,1,1,0,0,0,0,0,0,0,1,175000,,,,,,,,600,,200,1995,2,250000,0,0,100,0,0,1,2,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
35022,2018,2,,,,,,,,,,,,,,,,,500,3,2,,2,,2,120,1980,2,130000,10,80,10,0,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
35234,1975,1,1,,1975,1,0,0,0,0,0,0,0,0,1,10000,,,,,,,,500,,105,1975,2,120000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
35322,1962,1,1,,1962,1,1,0,0,0,0,0,0,0,2,5000,,,,,,,,500,,150,1962,2,100000,0,0,100,0,0,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
35323,2015,4,,,,,,,,,,,,,,,,,,,,,1,400,,66,1949,1,70000,20,20,20,20,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
35340,1970,2,,,,,,,,,,,,,,,,,25,4,1,150,4,,1,70,1960,1,50000,10,10,60,10,10,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
35372,1983,1,1,,1982,1,1,0,0,0,0,0,0,0,1,15000,,,,,,,,250,,100,1930,2,100000,0,10,80,10,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
35379,1976,1,1,,1976,1,1,0,0,0,0,0,0,0,3,30000,,,,,,,,500,,100,1976,2,120000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
35640,1979,1,1,,1973,1,1,0,0,0,0,0,0,0,5,100000,,,,,,,,1000,,150,1971,2,500000,25,20,15,20,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
35682,1976,1,1,,1976,1,1,0,0,0,0,0,0,0,2,55000,,,,,,,,400,,120,1949,2,120000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,1,1,,,,2
35788,1956,1,1,,1977,1,1,0,0,0,0,0,0,0,1,20000,,,,,,,,600,,120,1956,2,200000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
36130,1986,1,1,,1986,0,1,0,0,0,0,0,0,0,4,100000,,,,,,,,400,,100,1960,1,120000,0,100,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
36186,2007,1,1,,2002,1,0,0,0,0,0,0,0,0,3,20000,,,,,,,,200,,60,1966,2,40000,100,0,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
36250,1988,1,1,,1988,1,0,0,0,0,0,0,0,0,1,80000,,,,,,,,400,,85,1980,2,90000,20,30,10,10,30,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
36321,1980,1,1,,1979,1,1,0,0,0,0,0,0,0,1,40000,,,,,,,,400,,68,1970,1,85800,10,20,40,15,15,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
36333,2013,1,1,,2013,1,0,0,0,0,0,0,0,0,1,150000,,,,,,,,400,,110,1980,2,130000,0,20,50,30,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
36403,1982,2,,,,,,,,,,,,,,,,,50,4,1,350,4,,1,110,1980,2,60000,20,25,35,10,10,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,1,1200,2,,,,,2,,,2,2,2
36409,1983,1,1,,1990,1,0,0,0,0,0,0,0,0,1,60000,,,,,,,,700,,82,1962,1,135000,0,0,100,0,0,1,1,2,,1,1,2,,2,,2,,1,1,1,1,2,,2,,2,,2,,4,4,2,2,,2,,1,1,1,,,,,,2,2,2
36443,2018,1,1,,2018,1,1,0,0,0,0,0,0,0,1,120000,,,,,,,,650,,125,1970,2,200000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,1,1,,,,2
36697,1997,2,,,,1,0,0,0,0,0,0,0,0,,,,,500,1,2,,2,,2,80,1967,1,90000,20,50,30,0,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
36893,1990,1,1,,1990,1,1,0,0,0,0,0,0,0,5,40000,,,,,,,,350,,150,1980,2,170000,100,0,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
37299,1990,5,,,,,,,,,,,,,,,,,,,,,3,500,,90,1980,1,300000,20,20,20,35,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
37521,1984,1,1,,1984,1,0,0,0,0,0,0,0,0,1,70000,,,,,,,,500,,110,1927,1,180000,0,0,100,0,0,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,,2,2,,2,,2,,,,,2,,,2,2,2
37810,1950,1,1,,1990,1,0,0,0,0,0,0,0,0,4,20000,,,,,,,,200,,30,1800,1,30000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
38014,1982,1,1,,1996,1,0,0,0,0,0,0,0,0,1,40000,,,,,,,,450,,80,1959,1,70000,50,20,10,10,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1
