NQUEST,TDEBITC,TDEBITD,TDEBITE,TDEBITF,TDEBITG,PFIMM,PFCONS,PFAZ,PFCARTE,PFCC,RATADEB_RES,RATADEB_AIMM,RATADEB_FAM,RATADEB_PROF,RATADEB,PFCOLL,PFNOCOLL
955274,,1120,,,,74000,1120,0,0,0,8400,,280,,8680,74000,1120
955293,,,,,,0,,0,0,0,,,,,,0,0
955296,,,,,,0,,0,0,0,,,,,,0,0
955301,,,,40000,,0,40000,0,0,0,,,10800,,10800,0,40000
955304,,,,,,0,,0,0,0,,,,,,0,0
955307,,,,,,60000,,9000,0,0,,0,,,0,60000,0
955308,,,,,,230000,,0,0,0,7800,6700,,,14500,230000,0
955310,,,,,,13200,,0,0,0,1500,,,,1500,13200,0
955311,,,,,,0,,0,0,0,,,,,,0,0
955312,,,,,,0,,0,0,0,,,,,,0,0
955315,,,,,,27000,,0,0,0,5880,,,,5880,27000,0
955317,,,,,,0,,0,0,0,,,,,,0,0
955319,,,,,,132000,,0,0,0,,9600,,,9600,0,132000
955322,,,,,,0,,0,0,0,,,,,,0,0
955324,,,,,,0,,0,0,4695.551313,,,,,,0,4695.551313
955325,,,,,,0,,0,0,0,,,,,,0,0
955327,2800,,,,,112000,2800,0,0,0,8800,,2700,,11500,112000,2800
955332,,,,,,30000,,0,0,0,1500,,,,1500,30000,0
955333,,,,,,0,,0,0,0,,,,,,0,0
955334,,,,,,0,,60000,0,0,,,,0,0,0,60000
955335,,,,,,62000,,0,0,0,30000,,,,30000,62000,0
955342,698,,,,,28000,698,0,0,500,2880,,4100,,6980,28000,1198
955344,8000,,,,,0,8000,0,0,0,,,1760,,1760,0,8000
955345,,,,,,240000,,0,0,0,12000,,,,12000,240000,0
955346,,,,,,0,,0,0,0,,,,,,0,0
955348,,,,,,0,,0,0,0,,,,,,0,0
955354,,,,,,0,,0,0,0,,,,,,0,0
955361,,,,,,162000,,0,0,0,13800,,,,13800,162000,0
955364,,,,,,0,,0,0,0,,,,,,0,0
955368,,,,,,0,,0,0,0,,,,,,0,0
