NQUEST,NORDP,MOTUSC,ANNOENUS
924619,3,4,2018
924800,2,4,2017
925114,2,4,2019
925487,1,1,2020
925496,5,5,2020
925496,2,3,2017
925496,4,3,2017
925521,1,1,2019
926099,4,1,2018
926184,7,5,2017
926184,2,4,2017
926184,8,4,2017
926719,3,3,2017
926723,2,1,2020
926769,4,2,2020
926769,2,1,2019
926966,3,4,2020
927092,4,4,2017
927092,3,4,2018
927097,3,3,2017
927679,3,4,2018
927679,4,4,2018
927696,3,4,2020
927841,3,5,2020
927854,3,4,2020
927854,2,4,2020
927983,3,4,2020
928034,2,1,2018
928303,3,4,2018
