NQUEST,RCDOM,RCDOMAN,RCACC,RCPATTOA,RCPATTOB,RCMES19,RCAMM19,RCMES20,RCAMM20,RCANNI,RCANNI1,MISCOVID3,MISCOVIDV3,MISCOVID4,MISCOVIDV4,MISCOVID5,MISCOVIDV5,VARRED,VARREDA,VARREDB,VARREDCOME1,VARREDCOME2,VARREDCOME3,VARREDCOME4,VARREDCOME5,VARREDCOME6,VARREDFINE,VARREDFINEA,VARREDFINEB,ASPRED,IMPCOVID1,IMPCOVID2,IMPCOVID3,IMPCOVID4,DOCSEZB
32822,2,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
32839,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
32861,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
32887,2,,,,,,,,,3,,2,,,,2,,3,,40000,2,2,2,1,2,1,3,,40000,1,1,2,2,2,2
33036,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
33038,2,,,,,,,,,1,,2,,2,,2,,3,,10000,1,2,2,1,1,1,3,,5000,1,1,1,1,2,1
33275,2,,,,,,,,,7,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,1
33303,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
33335,2,,,,,,,,,5,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
33451,2,,,,,,,,,5,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
33479,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,4,2,2,2,2,2
33839,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
33882,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,4,2,2,2,2,2
33937,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
34252,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
34778,2,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,,3,,600,2,2,2,2,1,2
34825,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
35022,2,,,,,,,,,3,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
35234,2,,,,,,,,,5,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,1
35322,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,4,2,2,2,2,2
35323,3,,,,,,,,,,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
35340,2,,,,,,,,,5,,2,,,,2,,2,,,,,,,,,1,1100,,1,2,2,2,2,2
35372,2,,,,,,,,,3,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,1
35379,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
35640,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
35682,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
35788,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
36130,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,3,2,2,2,2,2
36186,2,,,,,,,,,1,,2,,2,,2,,3,,5500,2,2,2,2,2,1,3,,4000,1,1,2,2,2,2
36250,2,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
36321,2,,,,,,,,,3,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
36333,2,,,,,,,,,5,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
36403,1,3,1,2,2,12,1000,12,1000,,1,2,,,,1,500,3,,1500,1,2,2,1,1,1,3,,12000,1,2,2,2,2,2
36409,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
36443,2,,,,,,,,,1,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
36697,2,,,,,,,,,5,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
36893,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
37299,3,,,,,,,,,,,2,,2,,2,,4,,,,,,,,,4,,,4,2,2,2,2,2
37521,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
37810,2,,,,,,,,,3,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
38014,3,,,,,,,,,,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
38095,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,4,2,2,2,2,2
38106,2,,,,,,,,,5,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
38316,2,,,,,,,,,1,,2,,2,,2,,2,,,,,,,,,2,,,3,2,2,2,2,2
38877,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,3,,200,2,2,2,2,2,2
38885,2,,,,,,,,,0,,2,,2,,2,,3,,5000,2,2,2,1,1,1,3,,5000,1,2,1,2,2,2
38939,2,,,,,,,,,1,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,1,2,2
38940,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
39056,2,,,,,,,,,10,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
39086,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,1
39095,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
