NQUEST,NORDEB1,DEBM1,DETRAZIONI1,DEBRF1,ANMUTUO1,MUTUODU1,MUTUOFIN1,MUTUOIN1,DEBGAR1,DEBPERS1,LTV1,TIPOTAX1,RATACON1,TAXFIS1,TAXVAR1,SOSPENS1,SOSPEORA1,RIPPAG1,RIPPAGQUA1,TMUTUOAB1,TDEBITA1,RIFINANZ1
953545,1,1,,2,2019,20,18,390000,1,,60,1,,1,,1,2,1,6,13800,320000,2
953647,1,2,1,2,2008,20,7,240000,1,,100,1,,6,,1,1,,,0,60000,2
953692,1,1,,2,2013,25,18,180000,1,,50,2,1,,2,2,,,,7000,125000,2
953699,1,1,,2,2015,20,14,200000,1,,60,2,1,,2,2,,,,12000,150000,1
953886,1,2,2,2,2006,30,14,200000,1,,50,2,1,,1.2,2,,,,8000,120000,2
953888,1,1,,2,2017,30,26,400000,1,,40,1,,1,,2,,,,17000,332000,1
953897,1,1,,2,2012,15,6,600000,1,,80,1,,1.8,,2,,,,30000,250000,2
953898,1,2,1,2,2014,30,27,220000,1,,80,1,,1.8,,2,,,,8500,200000,1
953904,1,2,1,1,2016,25,19,250000,1,,100,1,,1.2,,2,,,,12000,196000,2
953920,1,2,2,2,2006,30,15,280000,1,,80,2,2,,2,2,,,,11000,190000,2
953947,1,2,1,2,2017,20,16,200000,1,,45,2,2,,0.6,2,,,,10800,175000,2
953975,1,1,,2,2016,30,25,208000,1,,100,1,,2.6,,2,,,,9984,187400,2
954006,1,1,,2,2018,20,17,200000,1,,77,1,,2,,2,,,,12000,164000,2
954007,1,1,,2,2014,30,24,220000,1,,40,2,2,,1.3,2,,,,10800,160000,2
954018,1,1,,2,2015,30,24,70000,1,,56,1,,1,,2,,,,2700,58000,1
954036,1,1,,2,2010,25,15,213000,1,,90,2,1,,1.5,2,,,,12000,143000,2
954041,1,1,,2,2017,30,27,190000,1,,76,1,,2.1,,2,,,,10000,156400,2
954041,2,1,,2,2017,5,2,20000,3,1,,1,,3.5,,2,,,,4000,9000,2
954121,1,1,,2,2017,30,26,300000,1,,33,1,,0.5,,2,,,,13000,260000,2
954139,1,1,,2,2015,25,18,240000,1,,90,1,,1,,2,,,,12000,130000,2
954141,1,1,,2,2016,30,25,350000,1,,40,1,,1,,2,,,,16400,250000,2
954181,1,1,,2,2009,25,12,144000,1,,55,1,,1.1,,2,,,,5640,76000,2
954186,1,1,,2,2016,15,9,200000,1,,70,2,1,,1.5,2,,,,15000,126000,2
954186,2,3,,3,2016,15,9,200000,3,1,,1,,1.5,,2,,,,15000,126000,2
954208,1,1,,2,2015,20,14,100000,3,1,,1,,1.5,,2,,,,4800,90000,1
954241,1,1,,2,2011,25,15,100000,1,,80,1,,1.15,,1,2,1,5,2492,60000,2
954243,1,1,,2,2016,12,7,290000,1,,30,1,,1.9,,2,,,,13680,107000,1
954257,1,1,,2,2003,20,2,175000,1,,50,1,,1.7,,2,,,,9600,20000,2
954267,1,1,,2,2010,20,9,100000,1,,65,3,2,0.9,1.5,2,,,,5900,48700,2
954274,1,1,,2,2015,20,14,280000,1,,80,1,,1.2,,2,,,,15000,200000,1
954275,1,1,,2,2017,30,26,275000,1,,70,1,,1.35,,2,,,,9500,246000,1
954361,1,1,,2,2005,20,2,100000,1,,100,1,,3.5,,1,2,1,12,1200,25000,2
