NQUEST,NORDEB1,DEBM1,DETRAZIONI1,DEBRF1,ANMUTUO1,MUTUODU1,MUTUOFIN1,MUTUOIN1,DEBGAR1,DEBPERS1,LTV1,TIPOTAX1,RATACON1,TAXFIS1,TAXVAR1,SOSPENS1,SOSPEORA1,RIPPAG1,RIPPAGQUA1,TMUTUOAB1,TDEBITA1,RIFINANZ1
959131,1,1,,2,2005,20,4,150000,1,,80,3,1,3,2,2,,,,5500,20000,2
959238,1,2,1,3,2017,10,7,80000,1,,20,3,1,2,3,2,,,,7200,50000,2
959264,1,1,,3,2007,30,17,400000,1,,67,1,,2,,2,,,,19000,218000,2
959315,1,1,,2,2019,20,19,300000,1,,100,1,,1.5,,2,,,,15000,285000,2
959351,1,1,,2,2011,15,5,100000,1,,20,2,1,,3,2,,,,7200,45000,2
959381,1,1,,2,2019,20,18,170000,1,,80,2,1,,0.9,2,,,,9000,140000,2
959381,2,2,1,2,2019,5,3,45000,3,1,,1,,3,,2,,,,4500,25000,2
959396,1,1,,2,2014,15,8,200000,1,,95,2,1,,1.1,2,,,,18000,144000,2
960223,1,1,,2,2019,20,18,90000,3,1,,1,,2,,2,,,,6000,80000,2
960254,1,1,,2,2019,10,8,100000,1,,80,2,1,,2.5,2,,,,10000,85000,2
960411,1,1,,1,2017,25,18,97000,1,,80,1,,1.45,,2,,,,4524,80000,1
960433,1,1,,2,2019,20,18,65000,1,,40,1,,2,,2,,,,4800,45000,2
960434,1,1,,1,2003,27,10,200000,1,,100,1,,5,,2,,,,9048,80000,1
960481,1,1,,2,2019,15,13,95000,1,,66,1,,1.5,,2,,,,7200,80000,2
960510,1,1,,2,2018,20,17,123000,1,,61,1,,1.1,,2,,,,6913,107000,1
960637,1,1,,2,2019,10,7,60000,1,,30,1,,1,,2,,,,7500,52000,2
960682,1,1,,2,2010,21,11,460000,1,,80,2,2,,1,2,,,,24000,220000,2
960743,1,1,,2,2018,15,13,100000,1,,25,1,,1.4,,2,,,,7500,90000,2
960747,1,2,2,2,2019,2,1,1200,3,1,,1,,6,,2,,,,600,350,2
960897,1,2,1,2,2020,5,4,50000,3,1,,2,1,,5,2,,,,4000,48000,2
960953,1,1,,2,2019,20,18,400000,1,,80,1,,3.8,,2,,,,19200,350000,2
961124,1,1,,2,2018,25,23,145000,1,,80,1,,3,,2,,,,6050,133000,2
961264,1,1,,2,2017,30,26,180000,1,,100,1,,2.2,,2,,,,6000,156000,2
961356,1,1,,2,2008,20,8,75000,1,,80,2,1,,2,2,,,,4800,40000,2
961579,1,1,,2,2007,25,12,140000,1,,90,1,,2,,2,,,,9000,104000,2
961601,1,2,1,2,2017,20,17,90000,3,1,,1,,5,,2,,,,6240,71280,2
961701,1,1,,1,2000,30,9,65000,1,,35,1,,5,,2,,,,5000,45000,1
963653,1,1,,2,2014,20,3,110000,1,,40,2,2,,3,2,,,,6600,25000,2
964285,1,1,,2,2005,30,15,220000,1,,100,1,,1.25,,2,,,,4200,80000,1
964294,1,1,,2,2013,20,12,500000,1,,35,2,1,,0.9,2,,,,30000,360000,2
964539,1,1,,2,2005,30,14,135000,1,,100,1,,1.3,,2,,,,4640,70000,2
967281,1,1,,2,2018,30,27,160000,1,,95,1,,2,,2,,,,7800,130000,2
967629,1,1,,2,2007,25,15,320000,1,,100,2,1,,2,2,,,,13000,160000,1
967647,1,1,,2,2018,20,18,150000,1,,100,1,,2.5,,2,,,,8000,125000,2
970196,1,1,,2,2017,30,26,160000,1,,80,1,,1.5,,2,,,,7200,144000,1
970336,1,1,,2,2016,30,25,195000,1,,95,1,,1.22,,2,,,,8000,180000,1
970357,1,1,,2,2013,12,5,80000,1,,50,2,1,,3,2,,,,8400,52000,2
970630,1,1,,2,2013,20,5,240000,1,,60,1,,0.95,,2,,,,15916,86377,1
970716,1,1,,2,2019,15,13,125000,1,,35,1,,0.3,,2,,,,8500,107000,2
970740,1,1,,2,2017,20,16,200000,3,1,,1,,3,,2,,,,12000,150000,2
970819,1,1,,2,2018,15,12,105000,1,,64,1,,1.48,,2,,,,7872,97128,2
970845,1,1,,2,2012,35,26,150000,1,,90,1,,1.2,,2,,,,4800,110000,1
971131,1,2,1,2,2015,20,15,140000,1,,80,1,,2.4,,2,,,,7500,105000,2
971166,1,1,,2,2005,25,10,150000,1,,70,2,2,,0.9,2,,,,7000,65000,2
971349,1,2,2,2,2014,12,5,60000,1,,10,2,1,,1,2,,,,3500,15000,2
971476,1,1,,2,2016,20,16,160000,1,,70,1,,3,,2,,,,9600,145000,1
971659,1,1,,2,2008,30,18,150000,1,,100,1,,7,,2,,,,5000,80000,2
972798,1,1,,2,2012,40,30,90000,3,1,,3,2,5,1,2,,,,5160,30000,2
973177,1,1,,2,2016,20,14,152000,1,,50,1,,1.4,,2,,,,8300,126000,1
973198,1,1,,2,2015,20,15,130000,1,,50,1,,1.5,,2,,,,7800,117000,2
973304,1,1,,2,2010,20,9,150000,3,1,,1,,3,,2,,,,7800,80000,2
973307,1,1,,2,2015,15,9,130000,1,,80,1,,6,,2,,,,10800,71000,2
973334,1,1,,2,2011,20,9,200000,1,,30,2,1,,3,2,,,,9600,100000,2
973354,1,1,,2,2018,30,27,188000,1,,80,1,,2,,1,2,1,6,4200,183000,2
973405,1,2,1,1,2020,15,14,38000,1,,20,1,,1.45,,2,,,,2820,33000,1
974073,1,1,,2,2017,30,26,100000,1,,70,1,,2,,2,,,,3000,80000,2
974075,1,1,,2,2018,20,17,120000,1,,70,1,,0.7,,2,,,,6000,108000,2
974153,1,1,,2,2002,25,7,150000,3,1,,1,,3,,1,2,1,10,6000,45000,2
974174,1,1,,2,2005,25,10,120000,1,,50,1,,3,,2,,,,6000,60000,2
974481,1,1,,2,2020,10,9,60000,1,,80,2,1,,0.8,2,,,,6500,58000,2
974630,1,1,,2,2009,20,8,225000,1,,90,2,2,,2,2,,,,9600,125000,2
975474,1,1,,2,2017,30,27,150000,1,,80,1,,2.2,,2,,,,5000,105000,2
